Order,Family,Genus,species,binom,Sexual.System,Karyotype,female2N,male2N,haploid.num,chromosome
Coleoptera,Attelabidae,Byctiscus,launipennis ,Byctiscus launipennis ,gonochorous,,,22,11,mono
Coleoptera,Attelabidae,Centrocorynus,aemulus ,Centrocorynus aemulus ,gonochorous,XY,28,28,14,mono
Coleoptera,Attelabidae,Deporaus,harmanni,Deporaus harmanni,gonochorous,XY,22,22,11,mono
Coleoptera,Attelabidae,Deporaus,marginatus ,Deporaus marginatus ,gonochorous,XY,22,22,11,mono
Coleoptera,Attelabidae,Deporaus,sp. 1    ,Deporaus sp. 1    ,gonochorous,XY,22,22,11,mono
Coleoptera,Attelabidae,Deporaus,sp. 2    ,Deporaus sp. 2    ,gonochorous,XY,22,22,11,mono
Coleoptera,Attelabidae,Deporaus,affectatus,Deporaus affectatus,gonochorous,XY,24,24,12,mono
Coleoptera,Attelabidae,Deporaus,unicolor,Deporaus unicolor,gonochorous,XY,24,24,12,mono
Coleoptera,Attelabidae,Deporaus,minimus,Deporaus minimus,gonochorous,XY,26,26,13,mono
Coleoptera,Attelabidae,Deporaus,unicolor,Deporaus unicolor,gonochorous,XY,34,34,17,mono
Coleoptera,Attelabidae,Hypera,viciae ,Hypera viciae ,gonochorous,XY,22,22,11,mono
Coleoptera,Attelabidae,Larinus,sturnus ,Larinus sturnus ,gonochorous,XY,38,38,19,mono
Coleoptera,Attelabidae,Liophloeus,lentus ,Liophloeus lentus ,gonochorous,XY,22,22,11,mono
Coleoptera,Attelabidae,Liparus,glabrirostris ,Liparus glabrirostris ,gonochorous,XY,32,32,16,mono
Coleoptera,Attelabidae,Pissodes,notatus ,Pissodes notatus ,gonochorous,XY,22,22,11,mono
Coleoptera,Attelabidae,Rhynchites,pilosus,Rhynchites pilosus,gonochorous,XY,32,32,16,mono
Coleoptera,Attelabidae,Rhynchites,sp. 1    ,Rhynchites sp. 1    ,gonochorous,XY,34,34,17,mono
Coleoptera,Attelabidae,Rhynchites,heros,Rhynchites heros,gonochorous,XY,38,38,19,mono
Coleoptera,Attelabidae,Rhynchites,placidus,Rhynchites placidus,gonochorous,XY,38,38,19,mono
Coleoptera,Bostrichidae,Apate,monacha ,Apate monacha ,gonochorous,XY,22,22,11,mono
Coleoptera,Bostrichidae,Bostrychopsis,bengalensis ,Bostrychopsis bengalensis ,gonochorous,XY,20,20,10,mono
Coleoptera,Bostrichidae,Rhizopertha,dominica ,Rhizopertha dominica ,gonochorous,XY,18,18,9,mono
Coleoptera,Bostrichidae,Sinoxylon,anale ,Sinoxylon anale ,gonochorous,XY,20,20,10,mono
Coleoptera,Brentidae,Apion,abruptum,Apion abruptum,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Apion,collare,Apion collare,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Apion,sp. 1    ,Apion sp. 1    ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Apion,sp. 2    ,Apion sp. 2    ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Aplemonus,tuberculata ,Aplemonus tuberculata ,gonochorous,XY,26,26,13,mono
Coleoptera,Brentidae,Brentus,anchorago ,Brentus anchorago ,gonochorous,XY,12,12,6,mono
Coleoptera,Brentidae,Brentus,mexicanus ,Brentus mexicanus ,gonochorous,XY,12,12,6,mono
Coleoptera,Brentidae,Ceratapion,austriacum ,Ceratapion austriacum ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Ceratapion,penetrans ,Ceratapion penetrans ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Cylas,formicarius,Cylas formicarius,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Cylas,formicarius elegantulus    ,Cylas formicarius elegantulus    ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Eutrichapion,melancholicum ,Eutrichapion melancholicum ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Nanophyes,marmoratus ,Nanophyes marmoratus ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Nemocephalus,femoratus ,Nemocephalus femoratus ,gonochorous,XY,12,12,6,mono
Coleoptera,Brentidae,Oxystoma,cerdo ,Oxystoma cerdo ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Proepisphales,elegans ,Proepisphales elegans ,gonochorous,XY,12,12,6,mono
Coleoptera,Brentidae,Pseudorychoides,insignis ,Pseudorychoides insignis ,gonochorous,XY,12,12,6,mono
Coleoptera,Brentidae,Rhopalapion,longirostre ,Rhopalapion longirostre ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Squamapion,flavimanum ,Squamapion flavimanum ,gonochorous,XY,22,22,11,mono
Coleoptera,Brentidae,Trachelizus,sp. 1 ,Trachelizus sp. 1 ,gonochorous,XY,12,12,6,mono
Coleoptera,Buprestidae,Acmaeodera,boryi ,Acmaeodera boryi ,gonochorous,XY,18,18,9,mono
Coleoptera,Buprestidae,Acmaeodera,flavofasciata ,Acmaeodera flavofasciata ,gonochorous,XY,18,18,9,mono
Coleoptera,Buprestidae,Acmaeodera,gibbulosa ,Acmaeodera gibbulosa ,gonochorous,XY,18,18,9,mono
Coleoptera,Buprestidae,Acmaeodera,hepburni ,Acmaeodera hepburni ,gonochorous,XY,18,18,9,mono
Coleoptera,Buprestidae,Acmaeodera,vetusta ,Acmaeodera vetusta ,gonochorous,XY,18,18,9,mono
Coleoptera,Buprestidae,Acmaeodera,flavolineata ,Acmaeodera flavolineata ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Acmaeodera,pilosellae persica,Acmaeodera pilosellae persica,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Agrilus,araxenus ,Agrilus araxenus ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Agrilus,liragus ,Agrilus liragus ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Agrilus,obscuricollis ,Agrilus obscuricollis ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Agrilus,politus pseudocoryli ,Agrilus politus pseudocoryli ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Agrilus,sp. ,Agrilus sp. ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Agrilus,angustulus ,Agrilus angustulus ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Agrilus,anxius ,Agrilus anxius ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Anthaxia,amasina ,Anthaxia amasina ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,bicolor ,Anthaxia bicolor ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,deaurata ,Anthaxia deaurata ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,hungarica ,Anthaxia hungarica ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,lgockii ,Anthaxia lgockii ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,mirabilis ,Anthaxia mirabilis ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,olympica ,Anthaxia olympica ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,podolica ,Anthaxia podolica ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,sponsa ,Anthaxia sponsa ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Anthaxia,viridifrons ,Anthaxia viridifrons ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Buprestis,fasciata ,Buprestis fasciata ,gonochorous,,,20,10,mono
Coleoptera,Buprestidae,Capnodis,tenebrionis ,Capnodis tenebrionis ,gonochorous,XY,14,14,7,mono
Coleoptera,Buprestidae,Capnodis,miliaris ,Capnodis miliaris ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Castiarina,adelaidae ,Castiarina adelaidae ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,argillacea ,Castiarina argillacea ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,cupreoflava ,Castiarina cupreoflava ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,decemmaculata ,Castiarina decemmaculata ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,flavopicta ,Castiarina flavopicta ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,grata ,Castiarina grata ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,rufipennis ,Castiarina rufipennis ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,sexplagiata ,Castiarina sexplagiata ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,simulata ,Castiarina simulata ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,subnotata ,Castiarina subnotata ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,subtincta ,Castiarina subtincta ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Castiarina,triramosa ,Castiarina triramosa ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Chalcophora,lacustris ,Chalcophora lacustris ,gonochorous,XO,22,21,11,mono
Coleoptera,Buprestidae,Chrysobothris,affinis tetragramma ,Chrysobothris affinis tetragramma ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Chrysobothris,dentipes ,Chrysobothris dentipes ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Chrysobothris,floricola ,Chrysobothris floricola ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Coraebus,rubi ,Coraebus rubi ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Coraebus,sinuatus ,Coraebus sinuatus ,gonochorous,XY,24,24,12,mono
Coleoptera,Buprestidae,Dicera,divaricata ,Dicera divaricata ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Dicera,prolongata ,Dicera prolongata ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Dicera,tenebrosa ,Dicera tenebrosa ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Dicerca,aenea validiuscula,Dicerca aenea validiuscula,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Julodella,globithorax ,Julodella globithorax ,gonochorous,XY,26,26,13,mono
Coleoptera,Buprestidae,Julodis,whithilli ,Julodis whithilli ,gonochorous,XY,24,24,12,mono
Coleoptera,Buprestidae,Julodis,andreae ,Julodis andreae ,gonochorous,XY,26,26,13,mono
Coleoptera,Buprestidae,Julodis,faldermanni ,Julodis faldermanni ,gonochorous,XY,26,26,13,mono
Coleoptera,Buprestidae,Melanophila,acuminata ,Melanophila acuminata ,gonochorous,XY,12,12,6,mono
Coleoptera,Buprestidae,Melanophila,drummondi ,Melanophila drummondi ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Melanophila,intrusa ,Melanophila intrusa ,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Meliboeus,caucasicus ,Meliboeus caucasicus ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Ovalisia,nadezhdae ,Ovalisia nadezhdae ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Perotis,cuprata ,Perotis cuprata ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Perotis,lugubris ,Perotis lugubris ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Sphaerobothris,aghababiani,Sphaerobothris aghababiani,gonochorous,XY,16,16,8,mono
Coleoptera,Buprestidae,Sphenoptera,artemisiae ,Sphenoptera artemisiae ,gonochorous,XY,24,24,12,mono
Coleoptera,Buprestidae,Sphenoptera,mesopotamica ,Sphenoptera mesopotamica ,gonochorous,,,24,12,mono
Coleoptera,Buprestidae,Sphenoptera,scovitzi ,Sphenoptera scovitzi ,gonochorous,,,24,12,mono
Coleoptera,Buprestidae,Sphenoptera,tamarisci ,Sphenoptera tamarisci ,gonochorous,XY,30,30,15,mono
Coleoptera,Buprestidae,Sphenoptera,glabrata ,Sphenoptera glabrata ,gonochorous,XY,40,40,20,mono
Coleoptera,Buprestidae,Sphenoptera,scpvitzii,Sphenoptera scpvitzii,gonochorous,,,42,21,mono
Coleoptera,Buprestidae,Spruce,borer sp. I , Spruce borer sp. I ,gonochorous,XY,20,20,10,mono
Coleoptera,Buprestidae,Spruce,borer sp. II , Spruce borer sp. II ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Stenocera,sp,Stenocera sp,gonochorous,XY,26,26,13,mono
Coleoptera,Buprestidae,Sternocera,laevigata ,Sternocera laevigata ,gonochorous,XY,26,26,13,mono
Coleoptera,Buprestidae,Sternocera,nitidicollis ,Sternocera nitidicollis ,gonochorous,XY,26,26,13,mono
Coleoptera,Buprestidae,Stigmodera,cancellata ,Stigmodera cancellata ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Stigmodera,goryi ,Stigmodera goryi ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Stigmodera,gratiosa ,Stigmodera gratiosa ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Stigmodera,macularia ,Stigmodera macularia ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Stigmodera,porosa ,Stigmodera porosa ,gonochorous,XY,22,22,11,mono
Coleoptera,Buprestidae,Stigmodera,roei ,Stigmodera roei ,gonochorous,XY,22,22,11,mono
