Order,Family,Genus,species,binom,Sexual.System,Karyotype,female2N,male2N,haploid.num,chromosome
Blattodea,Blaberidae,Archimandrita,tessellata,Archimandrita tessellata,,XO,46,45,23,mono
Blattodea,Blaberidae,Blaberus,discoidalis,Blaberus discoidalis,,XO,38,37,19,mono
Blattodea,Blaberidae,Blaberus,parabolicus,Blaberus parabolicus,,XO,40,39,20,mono
Blattodea,Blaberidae,Blaberus,atropos,Blaberus atropos,,XO,74,73,37,mono
Blattodea,Blaberidae,Blaberus,cranifer,Blaberus cranifer,,XO,74,73,37,mono
Blattodea,Blaberidae,Blaberus,giganteus,Blaberus giganteus,,XO,74,73,37,mono
Blattodea,Blaberidae,Byrsotria,fumigata,Byrsotria fumigata,,XO,48,47,24,mono
Blattodea,Blaberidae,Capucina,patula,Capucina patula,,XO,38,37,19,mono
Blattodea,Blaberidae,Diploptera,punctata,Diploptera punctata,,XO,48,47,24,mono
Blattodea,Blaberidae,Epilampra,maya,Epilampra maya,,XO,36,35,18,mono
Blattodea,Blaberidae,Epilampra,maculicollis,Epilampra maculicollis,,XO,38,37,19,mono
Blattodea,Blaberidae,Epilampra,sp.81B,Epilampra sp.81B,,XO,40,39,20,mono
Blattodea,Blaberidae,Epilampra,abdomennigrum,Epilampra abdomennigrum,,XO,42,41,21,mono
Blattodea,Blaberidae,Epilampra,sagitta,Epilampra sagitta,,XO,44,43,22,mono
Blattodea,Blaberidae,Epilampra,grisea,Epilampra grisea,,XO,50,49,25,mono
Blattodea,Blaberidae,Eublaberus,posticus,Eublaberus posticus,,XO,44,43,22,mono
Blattodea,Blaberidae,Eublaberus,distanti,Eublaberus distanti,,XO,66,65,33,mono
Blattodea,Blaberidae,Galiblatta,williamsi,Galiblatta williamsi,,XO,28,27,14,mono
Blattodea,Blaberidae,Gromphadorhina,brunneri,Gromphadorhina brunneri,,XO,64,63,32,mono
Blattodea,Blaberidae,Gromphadorhina,portentosa,Gromphadorhina portentosa,,XO,64,63,32,mono
Blattodea,Blaberidae,Gromphadorhina,chopardi,Gromphadorhina chopardi,,XO,76,75,38,mono
Blattodea,Blaberidae,Hormetica,scrobiculata,Hormetica scrobiculata,,XO,32,31,16,mono
Blattodea,Blaberidae,Hormetica,ventralis,Hormetica ventralis,,XO,32,31,16,mono
Blattodea,Blaberidae,Hyporhicnoda,litomorpha,Hyporhicnoda litomorpha,,XO,44,43,22,mono
Blattodea,Blaberidae,Lanxoblatta,emarginata,Lanxoblatta emarginata,,XO,66,65,33,mono
Blattodea,Blaberidae,Leucophaea,maderae,Leucophaea maderae,,XO,24,23,12,mono
Blattodea,Blaberidae,Macropanesthia,rhinoceros,Macropanesthia rhinoceros,,XO,80,79,40,mono
Blattodea,Blaberidae,Nauphoeta,cinerea,Nauphoeta cinerea,,XO,38,37,19,mono
Blattodea,Blaberidae,Panchlora,sp.,Panchlora sp.,,XO,32,31,16,mono
Blattodea,Blaberidae,Panchlora,nivea,Panchlora nivea,,XO,36,35,18,mono
Blattodea,Blaberidae,Panchlora,viridis,Panchlora viridis,,XO,38,37,19,mono
Blattodea,Blaberidae,Panesthia,sp.,Panesthia sp.,,XO,38,37,19,mono
Blattodea,Blaberidae,Panesthia,stellata,Panesthia stellata,,XO,38,37,19,mono
Blattodea,Blaberidae,Petasodes,dominicana,Petasodes dominicana,,XO,54,53,27,mono
Blattodea,Blaberidae,Phoetalia,circumvagans,Phoetalia circumvagans,,XO,54,53,27,mono
Blattodea,Blaberidae,Phortioica,phoraspoides,Phortioica phoraspoides,,XO,66,65,33,mono
Blattodea,Blaberidae,Pinaconota,sicca,Pinaconota sicca,,XO,34,33,17,mono
Blattodea,Blaberidae,Proscratea,complanata,Proscratea complanata,,XO,36,35,18,mono
Blattodea,Blaberidae,Pycnoscelus,indicus,Pycnoscelus indicus,,XO,36,35,18,mono
Blattodea,Blaberidae,Pycnoscelus,surinamensis,Pycnoscelus surinamensis,,,35,,18,mono
Blattodea,Blaberidae,Pycnoscelus,surinamensis,Pycnoscelus surinamensis,,,53,,27,mono
Blattodea,Blaberidae,Rhabdoblatta,sp.39T,Rhabdoblatta sp.39T,,XO,32,31,16,mono
Blattodea,Blaberidae,Rhabdoblatta,annandalei,Rhabdoblatta annandalei,,XO,50,49,25,mono
Blattodea,Blaberidae,Sp.,sp41B,Sp. sp41B,,XO,30,29,15,mono
Blattodea,Blattellidae,Agmoblatta,thaxteri,Agmoblatta thaxteri,,XO,26,25,13,mono
Blattodea,Blattellidae,Amazonina,conspersa,Amazonina conspersa,,XO,24,23,12,mono
Blattodea,Blattellidae,Amazonina,n.sp.,Amazonina n.sp.,,XO,26,25,13,mono
Blattodea,Blattellidae,Amazonina,n.sp.38B,Amazonina n.sp.38B,,XO,26,25,13,mono
Blattodea,Blattellidae,Attaphila,fungicola,Attaphila fungicola,,XO,34,33,17,mono
Blattodea,Blattellidae,Blattella,bisignata,Blattella bisignata,,XO,24,23,12,mono
Blattodea,Blattellidae,Blattella,germanica,Blattella germanica,,XO,24,23,12,mono
Blattodea,Blattellidae,Blattella,sauteri,Blattella sauteri,,XO,24,23,12,mono
Blattodea,Blattellidae,Blattella,vaga,Blattella vaga,,XO,24,23,12,mono
Blattodea,Blattellidae,Blattella,lituricollis lituricollis,Blattella lituricollis lituricollis,,XO,26,25,13,mono
Blattodea,Blattellidae,Blattella,sp.C43T,Blattella sp.C43T,,XO,28,27,14,mono
Blattodea,Blattellidae,Blattella,sp.D,Blattella sp.D,,XO,30,29,15,mono
Blattodea,Blattellidae,Blattella,sp.E71A,Blattella sp.E71A,,XO,50,49,25,mono
Blattodea,Blattellidae,Cariblatta,lutea minima,Cariblatta lutea minima,,XO,26,25,13,mono
Blattodea,Blattellidae,Dendroblatta,sobrina,Dendroblatta sobrina,,XO,26,25,13,mono
Blattodea,Blattellidae,Dendroblatta,cnephaia,Dendroblatta cnephaia,,XO,32,31,16,mono
Blattodea,Blattellidae,Ectobius,pallidus,Ectobius pallidus,,XO,22,21,11,mono
Blattodea,Blattellidae,Gislenia,australica,Gislenia australica,,XO,34,33,17,mono
Blattodea,Blattellidae,Hemithyrsocera,latera/is,Hemithyrsocera latera/is,,XO,26,25,13,mono
Blattodea,Blattellidae,Ischnoptera,castanea,Ischnoptera castanea,,XO,34,33,17,mono
Blattodea,Blattellidae,Ischnoptera,mura,Ischnoptera mura,,XO,34,33,17,mono
Blattodea,Blattellidae,Ischnoptera,sp.93B,Ischnoptera sp.93B,,XO,38,37,19,mono
Blattodea,Blattellidae,Ischnoptera,panamae,Ischnoptera panamae,,XO,40,39,20,mono
Blattodea,Blattellidae,Ischnoptera,rufa rufa,Ischnoptera rufa rufa,,XO,40,39,20,mono
Blattodea,Blattellidae,Ischnoptera,galibi,Ischnoptera galibi,,XO,44,43,22,mono
Blattodea,Blattellidae,Ischnoptera,deropeltiformis,Ischnoptera deropeltiformis,,XO,50,49,25,mono
Blattodea,Blattellidae,Loboptera,decipiens,Loboptera decipiens,,XO,34,33,17,mono
Blattodea,Blattellidae,Lobopterella,dimidiatipes,Lobopterella dimidiatipes,,XO,38,37,19,mono
Blattodea,Blattellidae,Lophoblatta,fissa,Lophoblatta fissa,,XO,16,15,8,mono
Blattodea,Blattellidae,Lophoblatta,brevis,Lophoblatta brevis,,XO,32,31,16,mono
Blattodea,Blattellidae,Lupparia,notulata,Lupparia notulata,,XO,20,19,10,mono
Blattodea,Blattellidae,Margattea,punctulata,Margattea punctulata,,XO,32,31,16,mono
Blattodea,Blattellidae,Nahublattella,n.sp.72B,Nahublattella n.sp.72B,,XO,20,19,10,mono
Blattodea,Blattellidae,Parasymploce,limbata,Parasymploce limbata,,XO,24,23,12,mono
Blattodea,Blattellidae,Parasymploce,sp.25T,Parasymploce sp.25T,,XO,32,31,16,mono
Blattodea,Blattellidae,Parasymploce,sp.30T,Parasymploce sp.30T,,XO,32,31,16,mono
Blattodea,Blattellidae,Parcoblatta,fulvescens,Parcoblatta fulvescens,,XO,38,37,19,mono
Blattodea,Blattellidae,Parcoblatta,pennsylvanica,Parcoblatta pennsylvanica,,XO,38,37,19,mono
Blattodea,Blattellidae,Pseudomops,septentrionalis,Pseudomops septentrionalis,,XO,32,31,16,mono
Blattodea,Blattellidae,Shawella,couloniana,Shawella couloniana,,XO,36,35,18,mono
Blattodea,Blattellidae,Supella,longipalpa,Supella longipalpa,,XO,20,19,10,mono
Blattodea,Blattellidae,Symploce,capitata,Symploce capitata,,XO,28,27,14,mono
Blattodea,Blattellidae,Symploce,fusca,Symploce fusca,,XO,30,29,15,mono
Blattodea,Blattellidae,Symplocodes,n.sp.50,Symplocodes n.sp.50,,XO,38,37,19,mono
Blattodea,Blattellidae,Symplocodes,marmorata,Symplocodes marmorata,,XO,40,39,20,mono
Blattodea,Blattellidae,Xestoblatta,immaculata,Xestoblatta immaculata,,XO,38,37,19,mono
Blattodea,Blattidae,Blatta,orientalis,Blatta orientalis,,XO,48,47,24,mono
Blattodea,Blattidae,Cryptocercus,punctulatus,Cryptocercus punctulatus,,XO,40,39,20,mono
Blattodea,Blattidae,Deropeltis,erythrocephala,Deropeltis erythrocephala,,XO,50,49,25,mono
Blattodea,Blattidae,Duchailluia,n.sp.,Duchailluia n.sp.,,XO,42,41,21,mono
Blattodea,Blattidae,Eurycotis,biolleyi,Eurycotis biolleyi,,XO,22,21,11,mono
Blattodea,Blattidae,Eurycotis,decipiens,Eurycotis decipiens,,XO,28,27,14,mono
Blattodea,Blattidae,Eurycotis,floridana,Eurycotis floridana,,XO,28,27,14,mono
Blattodea,Blattidae,Lamproblatta,albipalpus,Lamproblatta albipalpus,,XO,18,17,9,mono
Blattodea,Blattidae,Pelmatosilpha,coriacea,Pelmatosilpha coriacea,,XO,38,37,19,mono
Blattodea,Blattidae,Periplaneta,australasiae,Periplaneta australasiae,,XO,28,27,14,mono
Blattodea,Blattidae,Periplaneta,brunnea,Periplaneta brunnea,,XO,28,27,14,mono
Blattodea,Blattidae,Periplaneta,fuliginosa,Periplaneta fuliginosa,,XO,28,27,14,mono
Blattodea,Blattidae,Periplaneta,americana,Periplaneta americana,,XO,34,33,17,mono
Blattodea,Blattidae,Periplaneta,japonica,Periplaneta japonica,,XO,34,33,17,mono
Blattodea,Polyphagidae,Arenivaga,investigata,Arenivaga investigata,,XO,46,45,23,mono
Blattodea,Polyphagidae,Cryptocercus,relictus,Cryptocercus relictus,,XO,18,17,9,mono
Blattodea,Polyphagidae,Cryptocercus,primarius,Cryptocercus primarius,,XO,20,19,10,mono
Blattodea,Polyphagidae,Cryptocercus,punctulatus,Cryptocercus punctulatus,,XO,38,37,19,mono
Blattodea,Polyphagidae,Cryptocercus,punctulatus,Cryptocercus punctulatus,gonochorous,XO,48,47,24,mono
Blattodea,Polyphagidae,Latindia,sp.3,Latindia sp.3,,,,22,11,mono
Blattodea,Polyphagidae,Polyphaga,aegyptiaca,Polyphaga aegyptiaca,,XO,64,63,32,mono
Coleoptera,Anobiidae,Ernobius,mollis ,Ernobius mollis ,gonochorous,XY,22,22,11,mono
Coleoptera,Anobiidae,Gibbium,psylloides ,Gibbium psylloides ,gonochorous,XY,18,18,9,mono
Coleoptera,Anobiidae,Lasioderma,serricorne ,Lasioderma serricorne ,gonochorous,XY,18,18,9,mono
Coleoptera,Anobiidae,Ptinus,clavipes ,Ptinus clavipes ,gonochorous,XY,18,18,9,mono
Coleoptera,Anobiidae,Ptinus,hirtellus ,Ptinus hirtellus ,gonochorous,XY,18,18,9,mono
Coleoptera,Anobiidae,Ptinus,villiger ,Ptinus villiger ,gonochorous,XY,18,18,9,mono
Coleoptera,Anobiidae,Stegobium,paniceum ,Stegobium paniceum ,gonochorous,XO,18,17,9,mono
Coleoptera,Anthicidae,Notoxus,calcaratus ,Notoxus calcaratus ,gonochorous,XY,18,18,9,mono
Coleoptera,Anthicidae,Notoxus,constrictus ,Notoxus constrictus ,gonochorous,XY,18,18,9,mono
Coleoptera,Anthicidae,Notoxus,monodon ,Notoxus monodon ,gonochorous,XY,18,18,9,mono
Coleoptera,Anthribidae,Araecerus,fasciculatus ,Araecerus fasciculatus ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Euparius,marmoreus ,Euparius marmoreus ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Habrissus,longipes ,Habrissus longipes ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Platystomos,sellatus ,Platystomos sellatus ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Ptychoderes,bivittatus ,Ptychoderes bivittatus ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Ptychoderes,tricostifrons ,Ptychoderes tricostifrons ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Tropideres,germanus ,Tropideres germanus ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Tropideres,japonicus ,Tropideres japonicus ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Tropideres,laxus ,Tropideres laxus ,gonochorous,XY,22,22,11,mono
Coleoptera,Anthribidae,Tropideres,germanus ,Tropideres germanus ,gonochorous,XY,24,24,12,mono
Coleoptera,Attelabidae,Apoderus,balteatus,Apoderus balteatus,gonochorous,XY,22,22,11,mono
Coleoptera,Attelabidae,Apoderus,balteatus,Apoderus balteatus,gonochorous,XY,26,26,13,mono
Coleoptera,Attelabidae,Apoderus,erythrogaster rufiventris    ,Apoderus erythrogaster rufiventris    ,gonochorous,XY,26,26,13,mono
Coleoptera,Attelabidae,Apoderus,coryli ,Apoderus coryli ,gonochorous,XY,28,28,14,mono
Coleoptera,Attelabidae,Apoderus,erythrogaster nigriventris    ,Apoderus erythrogaster nigriventris    ,gonochorous,XY,28,28,14,mono
Coleoptera,Attelabidae,Apoderus,jekeli,Apoderus jekeli,gonochorous,XY,36,36,18,mono
Coleoptera,Attelabidae,Apoderus,jekeli,Apoderus jekeli,gonochorous,XY,38,38,19,mono
Coleoptera,Attelabidae,Auletobius,irkutensis japonicus    ,Auletobius irkutensis japonicus    ,gonochorous,XY,32,32,16,mono
Coleoptera,Attelabidae,Auletobius,puberulus,Auletobius puberulus,gonochorous,XY,32,32,16,mono
