"Family","Subfamily","Tribe","Species","Haploid Number","Sex Chromosome System"
"Bombyliidae","Bombyliinae","","Acrophthalmyda paulseni",6,"not reported"
"Bombyliidae","Anthracinae","","Anthrax anthrax",8,"not reported"
"Bombyliidae","Anthracinae","","Anthrax cordillerensis",6,"XY"
"Bombyliidae","","","Anthrax lateralis",6,"not reported"
"Bombyliidae","Anthracinae","","Anthrax mystaceus",7,"not reported"
"Bombyliidae","","","Anthrax oedipus",9,"XY"
"Bombyliidae","","","Anthrax sinuosa",9,"XY"
"Bombyliidae","Anthracinae","","Anthrax tigrinus",6,"not reported"
"Bombyliidae","Anthracinae","","Anthrax yamashiroensis",5,"XY"
"Bombyliidae","Bombyliinae","","Bombylius fulvescens",6,"not reported"
"Bombyliidae","Bombyliinae","","Bombylius pygmaeus",6,"XY"
"Bombyliidae","Anthracinae","","Exoprosopa atrinasis",9,"XY"
"Bombyliidae","","","Exoprosopa sp.",7,"XY"
"Bombyliidae","Anthracinae","","Exoprosopa sp.Punctulatagroup",7,"not reported"
"Bombyliidae","Anthracinae","","Ligyra cerberus",9,"XY"
"Bombyliidae","Anthracinae","","Ligyra proserpina",9,"XY"
"Bombyliidae","Anthracinae","","Neodiplocampta roederi",9,"XY"
"Bombyliidae","","","Spogostylum simson",6,"not reported"
"Bombyliidae","Bombyliinae","","Systoechus vulgaris",7,"XY"
"Bombyliidae","Anthracinae","","Thyridanthrax abrupta",8,"not reported"
"Bombyliidae","Anthracinae","","Thyridanthrax niveifrons",9,"XY"
"Bombyliidae","Anthracinae","","Thyridanthrax sp",9,"XY"
"Bombyliidae","Bombyliinae","","Toxophora javana",4,"XY"
"Bombyliidae","Bombyliinae","","Usia florea",5,"XY"
"Bombyliidae","Anthracinae","","Villa cingulum",8,"not reported"
"Bombyliidae","Anthracinae","","Villa gayi",9,"XY"
"Bombyliidae","Anthracinae","","Villa gorgon",7,"XY"
"Bombyliidae","Anthracinae","","Villa lateralis",6,"XY"
"Bombyliidae","Anthracinae","","Villa morio",9,"XY"
"Bombyliidae","Anthracinae","","Villa scylla",5,"XY"
"Bombyliidae","Anthracinae","","Villa sinuosa",9,"XY"
"Bombyliidae","","","Villa sp",9,"XY"
"Bombyliidae","Anthracinae","","Villa sp.1",7,"XY"
"Bombyliidae","Anthracinae","","Villa sp.2",7,"not reported"
"Bombyliidae","Anthracinae","","Villa sp.3",9,"not reported"
"Bombyliidae","Anthracinae","","Villa sp.Lateralisgroup",7,"XY"
"Bombyliidae","Anthracinae","","Villa sp.nr.Blanchardiana",6,"XY"
"Bombyliidae","Anthracinae","","Villa sp.nr.gorgon",9,"XY"
"Bombyliidae","","","Villa spB",6,"XY"
"Bombyliidae","","","Villa spC",7,"XY"
"Bombyliidae","Anthracinae","","Villa velutina",9,"XY"
"Bombyliidae","","","Villa velutinaI",9,"XY"
"Bombyliidae","","","Villa velutinaII",9,"XY"
"Calliphoridae","","","Albuquerquea latifrons",6,"XY"
"Calliphoridae","","","Amenia chrysame",6,"XY"
"Calliphoridae","","","Anthracomyza atratula",6,"XY"
"Calliphoridae","","","Bengalia inermis",6,"XY"
"Calliphoridae","","","Bengalia lyneborgi",6,"XY"
"Calliphoridae","","","Blepharicnema splendens",6,"XY"
"Calliphoridae","","","Boreellus atriceps",6,"XY"
"Calliphoridae","","","Bufolucilia silvarum",6,"XY"
"Calliphoridae","","","Calliphora accepta",6,"XY"
"Calliphoridae","","","Calliphora bomitoria",6,"XY"
"Calliphoridae","","","Calliphora croceipalpisI",6,"XY"
"Calliphoridae","","","Calliphora croceipalpisII",6,"XY"
"Calliphoridae","Calliphorinae","Calliphorini","Calliphora erythrocephala",6,"XY"
"Calliphoridae","","","Calliphora fallax",6,"XY"
"Calliphoridae","","","Calliphora fulviceps",6,"XY"
"Calliphoridae","","","Calliphora fulvicoxa",6,"XY"
"Calliphoridae","","","Calliphora hilli",6,"XY"
"Calliphoridae","","","Calliphora lilaea",6,"XY"
"Calliphoridae","","","Calliphora peruviana",6,"XY"
"Calliphoridae","","","Calliphora plebeia",6,"XY"
"Calliphoridae","","","Calliphora sternalis",6,"XY"
"Calliphoridae","","","Calliphora stygia",6,"XY"
"Calliphoridae","","","Calliphora tibialis",6,"XY"
"Calliphoridae","","","Calliphora varifrons",6,"XY"
"Calliphoridae","","","Calliphora vicina",6,"XY"
"Calliphoridae","","","Calliphora vicinaI",6,"XY"
"Calliphoridae","","","Calliphora vicinaII",6,"XY"
"Calliphoridae","","","Calliphora viridenscens",6,"XY"
"Calliphoridae","Calliphorinae","Calliphorini","Calliphora viridescens",6,"XY"
"Calliphoridae","Calliphorinae","Calliphorini","Calliphora vomitoria",6,"XY"
"Calliphoridae","","","Calliphora vomitoriaI",6,"XY"
"Calliphoridae","","","Calliphora vomitoriaII",6,"XY"
"Calliphoridae","","","Calliphora vomitoriaIII",6,"XY"
"Calliphoridae","","","Callitroga hominivorax",6,"XY"
"Calliphoridae","","","Callitroga macellaria",6,"XY"
"Calliphoridae","","","Callitroga mocellaria",6,"XY"
"Calliphoridae","","","Chrysomia albiceps",6,"XY"
"Calliphoridae","","","Chrysomia cholorpyga",6,"XY"
"Calliphoridae","","","Chrysomia putoria",6,"XY"
"Calliphoridae","","","Chrysomya albiceps",6,"not reported"
"Calliphoridae","","","Chrysomya bezziana",6,"XY"
"Calliphoridae","","","Chrysomya marginalis",6,"XY"
"Calliphoridae","","","Chrysomya megacephala",6,"XY"
"Calliphoridae","","","Chrysomya phaonis",6,"XY"
"Calliphoridae","","","Chrysomya pinguis",6,"XY"
"Calliphoridae","","","Chrysomya pinguis",6,"XY"
"Calliphoridae","","","Chrysomya putoria",6,"XY"
"Calliphoridae","","","Chrysomya rufifacies",6,"not reported"
"Calliphoridae","","","Chrysomya saffranea",6,"XY"
"Calliphoridae","","","Chrysomya varipes",6,"XY"
"Calliphoridae","","","Chrysomyia albiceps",6,"XY"
"Calliphoridae","","","Chrysomyia chloropygaI",6,"XY"
"Calliphoridae","","","Chrysomyia chloropygaII",6,"XY"
"Calliphoridae","","","Chrysomyia megacephala",6,"XY"
"Calliphoridae","","","Chrysomyia pachymera",6,"XY"
"Calliphoridae","","","Chrysomyia putoriaI",6,"XY"
"Calliphoridae","","","Chrysomyia putoriaII",6,"XY"
"Calliphoridae","","","Chrysomyia rufifacies",6,"XY"
"Calliphoridae","Chrysomyinae","Chrysomyinae","Cochliomyia hominivorax",6,"XY"
"Calliphoridae","Chrysomyinae","","Cochliomyia macellaria",6,"XY"
"Calliphoridae","","","Cochliomyia macellariaI",6,"XY"
"Calliphoridae","","","Cochliomyia macellariaII",6,"XY"
"Calliphoridae","","","Cosmina testaceipes",6,"XY"
"Calliphoridae","","","Cynomya cadaverina",6,"XY"
"Calliphoridae","","","Cynomya mortuorumI",6,"XY"
"Calliphoridae","","","Cynomya mortuorumII",6,"XY"
"Calliphoridae","","","Cynomya mortuorumIII",6,"XY"
"Calliphoridae","Calliphorinae","Calliphorini","Cynomyia mortuarum",6,"XY"
"Calliphoridae","","","Cynomyia mortyorum",6,"XY"
"Calliphoridae","Calliphorinae","Calliphorini","Cynomyopsis cadaverina",6,"XY"
"Calliphoridae","","","Discritomyia fasciata",6,"XY"
"Calliphoridae","","","Discritomyia fulgens",6,"XY"
"Calliphoridae","","","Discritomyia newspecies",6,"XY"
"Calliphoridae","","","Discritomyia terryi",6,"XY"
"Calliphoridae","Calliphorinae","Calliphorini","Eucalliphora lilaea",6,"XY"
"Calliphoridae","","","Euphumosia setigera",6,"XY"
"Calliphoridae","","","Eurhyncomyia anterotes",6,"XY"
"Calliphoridae","","","Hemilucilia sp",6,"XY"
"Calliphoridae","","","Hemipyrellia brunneipes",6,"XY"
"Calliphoridae","","","Hemipyrellia fernandica",6,"Complex XY"
"Calliphoridae","","","Hemipyrellia ligurriens",6,"XY"
"Calliphoridae","","","Hemipyrellia taeniops",6,"XY"
"Calliphoridae","","","Hemipyrellia tagaliana",6,"XY"
"Calliphoridae","","","Huascaromusca nigrifrons",6,"XY"
"Calliphoridae","","","Isomyia connivens",6,"XY"
"Calliphoridae","","","Isomyia prasina",6,"XY"
"Calliphoridae","","","Lucilia ampullacea",6,"XY"
"Calliphoridae","Calliphorinae","Luciliini","Lucilia caesar",6,"XY"
"Calliphoridae","Calliphorinae","Luciliini","Lucilia coreuleiviridis",6,"XY"
"Calliphoridae","","","Lucilia cuprina",6,"XY"
"Calliphoridae","Calliphorinae","Luciliini","Lucilia eximia",6,"XY"
"Calliphoridae","","","Lucilia illustria",6,"XY"
"Calliphoridae","Calliphorinae","Luciliini","Lucilia illustris",6,"XY"
"Calliphoridae","","","Lucilia porphyrina",6,"XY"
"Calliphoridae","","","Lucilia sericata",6,"XY"
"Calliphoridae","","","Lucilia sericata",6,"XY"
"Calliphoridae","","","Melinda biseta",6,"XY"
"Calliphoridae","","","Melinda sp",6,"XY"
"Calliphoridae","","","Mesembrinella peregrinaI",6,"XY"
"Calliphoridae","","","Mesembrinella peregrinaII",6,"XY"
"Calliphoridae","","","Metallea cuprea",6,"XY"
"Calliphoridae","","","Metallea puncticeps",6,"XY"
"Calliphoridae","","","Microcalliphora varipes",6,"XY"
"Calliphoridae","","","Paralucilia fulvicrura",6,"XY"
"Calliphoridae","","","Paralucilia wheeleri",6,"XY"
"Calliphoridae","","","Paratricyclea surcoufi",6,"XY"
"Calliphoridae","","","Phaenicia caeruleiviridis",6,"XY"
"Calliphoridae","","","Phaenicia caeruleiviridis",6,"XY"
"Calliphoridae","","","Phaenicia coernleiviridis",6,"XY"
"Calliphoridae","","","Phaenicia cuprina",6,"XY"
"Calliphoridae","","","Phaenicia eximia",6,"XY"
"Calliphoridae","","","Phaenicia sericata",6,"XY"
"Calliphoridae","","","Phaenicia sericata",6,"XY"
"Calliphoridae","Chrysomyinae","Phormiini","Phormia regina",6,"XY"
"Calliphoridae","","","Phormia terrae-novae",6,"XY"
"Calliphoridae","","","Phormia terraenovae",6,"XY"
"Calliphoridae","","","Phumosia promittens",6,"XY"
"Calliphoridae","","","Pollenia nigripes",6,"XY"
"Calliphoridae","Polleniinae","Polleniini","Pollenia rudis",6,"XY"
"Calliphoridae","","","Pollenia rudisI",6,"XY"
"Calliphoridae","","","Pollenia rudisII",6,"XY"
"Calliphoridae","","","Pollenia rudisIII",6,"XY"
"Calliphoridae","","","Polleniopsis hokurikuensis",6,"XY"
"Calliphoridae","Chrysomyinae","Phormiini","Protocalliphora aenea",6,"XY"
"Calliphoridae","Chrysomyinae","Phormiini","Protocalliphora avium",6,"XY"
"Calliphoridae","","","Protocalliphora falcozi",6,"XY"
"Calliphoridae","","","Protocalliphora hirundo",6,"XY"
"Calliphoridae","","","Protocalliphora hirundo",6,"XY"
"Calliphoridae","Chrysomyinae","Phormiini","Protocalliphora metallica",6,"XY"
"Calliphoridae","","","Protocalliphora sialia",6,"XY"
"Calliphoridae","","","Protocalliphora sp",6,"XY"
"Calliphoridae","","","Protophormia terraenovae",6,"XY"
"Calliphoridae","","","Protophormia terraenovaeI",6,"XY"
"Calliphoridae","","","Protophormia terraenovaeII",6,"XY"
"Calliphoridae","","","Rhinia apicalis",6,"XY"
"Calliphoridae","","","Rhinia discolor",6,"XY"
"Calliphoridae","","","Rhinia subapicalis",6,"XY"
"Calliphoridae","","","Rhyncomyia italica",6,"XY"
"Calliphoridae","","","Rhyncomyia stannocuprea",6,"XY"
"Calliphoridae","","","Sarconesiopsis chilensis",6,"XY"
"Calliphoridae","","","Sphenometrops tergata",6,"XY"
"Calliphoridae","","","Stomorhina armatipes",6,"XY"
"Calliphoridae","","","Stomorhina lunata",6,"XY"
"Calliphoridae","","","Stomorhina obsoleta",6,"XY"
