Order,species,SCS,haploid-homo
Coleoptera, Spruce borer sp. I ,XY,10
Coleoptera, Spruce borer sp. II ,XY,11
Coleoptera,Abacetus salzamanni     ,XO,21
Coleoptera,Abax ater     ,,17
Coleoptera,Abax ovalis     ,,17
Coleoptera,Abax parallelepipedus     ,XO,18
Coleoptera,Abax parallelus     ,XO,18
Coleoptera,Acalles camelus     ,Xyp,15
Coleoptera,Acalles commutatus     ,Xyp,14
Coleoptera,Acalles echitus,Xyp,15
Coleoptera,Acalles echitus     ,Xyp,15
Coleoptera,Acalles fallax,Xyp,15
Coleoptera,Acalles petryszaki,Xyp,15
Coleoptera,Acallopistus sp. 1    ,Xyp,12
Coleoptera,Acalolepta fraudatrix ,,11
Coleoptera,Acalolepta luxuriosa ,XY,12
Coleoptera,Acalolepta sejuncta ,,11
Coleoptera,Acalymma blandulum ,XO,10
Coleoptera,Acalymma fairmairei ,XO,14
Coleoptera,Acalymma gouldi ,XO,10
Coleoptera,Acalymma innuba ,XO,10
Coleoptera,Acalymma pallipe ,XO,11
Coleoptera,Acalymma quadrivittatum ,XO,11
Coleoptera,Acalymma s. sp. Near trivittatum ,XXY,20
Coleoptera,Acalymma sp. 1 ,XO,12
Coleoptera,Acalymma thiemei ,XO,11
Coleoptera,Acalymma trivittatum ,XO,11
Coleoptera,Acalymma vittatum ,XO,11
Coleoptera,Acanthocinus aedilis ,Xyp,11
Coleoptera,Acanthocinus circumflexus ,Xyp,13
Coleoptera,Acanthocinus griseus ,,11
Coleoptera,Acanthoscelides obtectus ,,10
Coleoptera,Acicnemis alni     ,Xyp,12
Coleoptera,Acicnemis nigra     ,Xyp,11
Coleoptera,Acicnemis nigra     ,Xyp,12
Coleoptera,Acinopus giganteus,,18
Coleoptera,Acinopus gutturosus,XO,19
Coleoptera,Acinopus picipes     ,,18
Coleoptera,Acmaeodera boryi ,Xyr,9
Coleoptera,Acmaeodera flavofasciata ,Xyr,9
Coleoptera,Acmaeodera flavolineata ,NeoXY,10
Coleoptera,Acmaeodera gibbulosa ,Xyr,9
Coleoptera,Acmaeodera hepburni ,NeoXY,9
Coleoptera,Acmaeodera pilosellae persica,NeoXY,10
Coleoptera,Acmaeodera vetusta ,Xyr,9
Coleoptera,Acmaeops pratensis,XY,11
Coleoptera,Acmaeops proteus ,Xyp,11
Coleoptera,Acupalpus brunnipes,,22
Coleoptera,Acupalpus elegans ,XY,11
Coleoptera,Acupalpus maculatus,,19
Coleoptera,Adalia bipunctata     ,XY,10
Coleoptera,Adalia bipunctata     ,Xyp,10
Coleoptera,Adalia frigida melanopleura    ,Xyp,10
Coleoptera,Adelocera colonicus     ,XO,9
Coleoptera,Adelocera modesta     ,XO,9
Coleoptera,Adelocera muri     ,Xyp,11
Coleoptera,Adelocera muri     ,Xyp,11
Coleoptera,Adelocera rectangularis     ,XO,9
Coleoptera,Adelocera sp.     ,XO,9
Coleoptera,Adesmia biskrensis     ,Xyp,9
Coleoptera,Adesmia cancellata     ,Xyp,10
Coleoptera,Adesmia metallica     ,Xyp,9
Coleoptera,Adesmia monta,XY,10
Coleoptera,Adexius scrobipennis     ,Xyp,18
Coleoptera,Adolopus sp. 1 ,Xy,12
Coleoptera,Adolopus sp. 2 ,Xy,12
Coleoptera,Adonia variegata     ,,10
Coleoptera,Adoretus bombitor,Xyp,11
Coleoptera,Adoretus decanus     ,Xyp,11
Coleoptera,Adoretus duvauceli     ,Xyp,11
Coleoptera,Adoretus epipleuralis,Xyp,11
Coleoptera,Adoretus incurvatus     ,Xyp,11
Coleoptera,Adoretus lasiopygus     ,Xyp,11
Coleoptera,Adoretus limbatus     ,Xyp,11
Coleoptera,Adoretus sp.     ,Xyp,11
Coleoptera,Adoretus sp. (M-42)    ,Xyp,11
Coleoptera,Adoretus versutus     ,Xyp,11
Coleoptera,Adoretus versutus     ,Xyp,12
Coleoptera,Adorrhinyptia dorsalis     ,Xyp,11
Coleoptera,Adorrhinyptia sp.     ,Xyr,8
Coleoptera,Adorrhinyptia sp.     ,Xyr,9
Coleoptera,Adorrhinyptia sp.     ,Xyr,10
Coleoptera,Adosomus melanogrammus     ,Xyp,23
Coleoptera,Aedmon eugeniae ,XO,20
Coleoptera,Aegiala areria     ,,10
Coleoptera,Aegiala blanchardi     ,Xyp,10
Coleoptera,Aegialia areria,,10
Coleoptera,Aegosoma scabricorne ,,10
Coleoptera,Aeloesthes holosericea ,Xyp,9
Coleoptera,Aemymone cariosa     ,Xyp,9
Coleoptera,Aeqialia areria     ,,10
Coleoptera,Aeqialia blanchardi     ,Xyp,10
Coleoptera,Afissa parvula     ,Xyp,9
Coleoptera,Agabus adpressus,XY,22
Coleoptera,Agabus affinis,XO,22
Coleoptera,Agabus biguttatus ,,21
Coleoptera,Agabus binotatus,XO,22
Coleoptera,Agabus bipustulatus ,Xyp,21
Coleoptera,Agabus bipustulatus ,XO,22
Coleoptera,Agabus bipustulatus var. solieri,,21
Coleoptera,Agabus confinis ,XY,21
Coleoptera,Agabus confinis ,XO,22
Coleoptera,Agabus congener,,21
Coleoptera,Agabus conspersus ,XY,20
Coleoptera,Agabus conspersus ,XO,22
Coleoptera,Agabus infuscatus,NeoXy,23
Coleoptera,Agabus labiatus,,21
Coleoptera,Agabus lapponicus,XO,22
Coleoptera,Agabus melarius,,21
Coleoptera,Agabus nebulosus,,21
Coleoptera,Agabus nevadensis,,21
Coleoptera,Agabus ramblae,,21
Coleoptera,Agabus ramblae ,XO,22
Coleoptera,Agabus serricornis,XO,22
Coleoptera,Agabus sturmi ,Xyp,21
Coleoptera,Agabus sturmi ,XO,22
Coleoptera,Agabus thomsoni,XO,22
Coleoptera,Agabus unguicularis,XO,22
Coleoptera,Agabus wollastoni,XO,22
Coleoptera,Agapanthia dahli ,Xyp,10
Coleoptera,Agapanthia daurica ,,10
Coleoptera,Agapanthia korostelevi,Xyp,10
Coleoptera,Agapanthia villosoviridescens ,XY,10
Coleoptera,Agapanthia villosoviridescens ,Xyp,10
Coleoptera,Agapanthia villosoviridescens ,,10
Coleoptera,Agapanthia walteri,Xyp,10
Coleoptera,Agathomerus sellatus ,Xyp,10
Coleoptera,Agathomerus subfasciatus ,Xyp,10
Coleoptera,Agathomerus testaceus ,Xyp,10
Coleoptera,Agelastica coerulea ,Xyr,12
Coleoptera,Agonini sp. 1    ,,15
Coleoptera,Agonini sp. 2    ,,18
Coleoptera,Agonum bogemanni     ,NeoXY,18
Coleoptera,Agonum corvus,,19
Coleoptera,Agonum cupripenne     ,NeoXY,18
Coleoptera,Agonum dolens     ,XO,20
Coleoptera,Agonum ericeti     ,XY,17
Coleoptera,Agonum errans     ,XO,19
Coleoptera,Agonum extensicolle,XO,19
Coleoptera,Agonum fuliginosum     ,XO,19
Coleoptera,Agonum livens     ,XO,22
Coleoptera,Agonum marginatum     ,XO,19
Coleoptera,Agonum micans,,17
Coleoptera,Agonum moestum     ,XY,17
Coleoptera,Agonum moestum longipenne    ,XY,17
Coleoptera,Agonum muelleri     ,XO,19
Coleoptera,Agonum munsteri     ,XY,18
Coleoptera,Agonum nigrum     ,XY,17
Coleoptera,Agonum retractum     ,XO,19
Coleoptera,Agonum sexpunctatum     ,XO,19
Coleoptera,Agonum sp. 1    ,,18
Coleoptera,Agonum sp. 2    ,XO,19
Coleoptera,Agonum thoreyi     ,XO,18
Coleoptera,Agonum thoreyi melanocephalus    ,XO,18
Coleoptera,Agonum viridicupreum,XO,19
Coleoptera,Agraphydrus decipiens,Xy,9
Coleoptera,Agrilus angustulus ,Xyp,11
Coleoptera,Agrilus anxius ,,11
Coleoptera,Agrilus araxenus ,XY,10
Coleoptera,Agrilus liragus ,,10
