Kingdom,Higher.taxonomic.group,Order,Family,Genus,species,Sexual.System,Karyotype,notes..Karyotype,Genotypic,Haplodiploidy,notes..Haplodiploidy,Predicted.ploidy,Chromosome.number..female..2N,notes..Chromosome.number..female..2N,Chromosome.number..male..2N,notes..Chromosome.number..male..2N,notes..comments,entry.name,cite.key
Animal,Arthropoda,Hymenoptera,Andrenidae,Andrena,togashii,,,,,arrhenotoky,,,6,,3,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Andrenidae,Andrena (Hesperandrena),duboisi ,,,,,arrhenotoky,,,6,,3,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Andrenidae,Andrena (Hesperandrena),sp.,,,,,arrhenotoky,,,20,,10,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Aphelinidae,Aphelinus,mali,,,,,arrhenotoky,,,10,,5,,,Ross,gokhman1995last
Animal,Arthropoda,Hymenoptera,Aphelinidae,Aphytis,mytilaspidus,,,,,arrhenotoky,,,10,,5,,,Ross,gokhman1995last
Animal,Arthropoda,Hymenoptera,Aphelinidae,Archenomus,orientalis,,,,,arrhenotoky,,,22,,11,,,Ross,gokhman1995last
Animal,Arthropoda,Hymenoptera,Aphelinidae,Encarsia,berlesei,,,,,arrhenotoky,,,10,,5,,,Ross,gokhman1995last
Animal,Arthropoda,Hymenoptera,Aphelinidae,Encarsia,pergandiella,,,,,arrhenotoky,,,12,,6,,,Ross,gokhman1995last
Animal,Arthropoda,Hymenoptera,Apidae, Camargoia,nordestina,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Cephalotrigona,capitata,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Frieseomelitta,doederleini,,,,,arrhenotoky,,,30,,15,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Frieseomelitta,languida,,,,,arrhenotoky,,,30,,15,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Frieseomelitta,varia,,,,,arrhenotoky,,,30,,15,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Geotrigona ,mombuca,,,,,arrhenotoky,,,30,,15,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Lestrimelitta,limao,,,,,arrhenotoky,,,28,,14,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Mourella,caerulea,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Nannotrigona,sp.1,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Nannotrigona,testaceicornis,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Paratrigona,subnuda,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Ptilotrigona , lurida,,,,,arrhenotoky,,,22,,11,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,fiebrigi ,,,,,arrhenotoky,,,34,,17,,,Ross,barth2011occurrence
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,chanchamayoensis,,,,,arrhenotoky,,,34,,17,,,Ross,costa2004karyotypic
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,fulviventris,,,,,arrhenotoky,,,32,,16,,,Ross,domingues2005karyotype
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,acantha,,,,,arrhenotoky,,,34,,17,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,fenestrata ,,,,,arrhenotoky,,,32,,16,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,fulgidus longiplumosis ,,,,,arrhenotoky,,,26,,13,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,pectoralis barrocoloradensis ,,,,,arrhenotoky,,,34,,17,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,spinipes,,,,,arrhenotoky,,,34,,17,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,subterranea,,,,,arrhenotoky,,,34,,17,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,violacea,,,,,arrhenotoky,,,32,,16,,,Ross,gokhmanthesis
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,angustula,,,,,arrhenotoky,,,34,,17,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,appendiculata,,,,,arrhenotoky,,,32,,16,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,babai,,,,,arrhenotoky,,,32,,16,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,barrocoloralensis,,,,,arrhenotoky,,,34,,17,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,dentipes,,,,,arrhenotoky,,,34,,17,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,esakii,,,,,arrhenotoky,,,32,,16,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,flavipes,,,,,arrhenotoky,,,34,,17,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,japonica,,,,,arrhenotoky,,,34,,17,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,megastigmata,,,,,arrhenotoky,,,34,,17,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,minangkabou,,,,,arrhenotoky,,,40,,20,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,okinawana,,,,,arrhenotoky,,,34,,17,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,smaragdula,,,,,arrhenotoky,,,28,,14,,,Ross,hoshiba1993chromosome
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,muelleri,,,,,arrhenotoky,,,16,,8,,,Ross,kerr1972
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,violacea,,,,,arrhenotoky,,,32,,16,,,Ross,kerr1972karyotypic
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,fenestrata,,,,,arrhenotoky,,,32,,16,,,Ross,kumbkarni1965cytological
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,angustula,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,clavipes,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
Animal,Arthropoda,Hymenoptera,Apidae, Scaptotrigona,depilis,,,,,arrhenotoky,,,34,,17,,,Ross,rocha2003citogenetica
