"i","asc1","desc1","pol1","p"
968,0.000313397469857697,0.0172682774810206,0.0907118982433498,-45.3995071132584
965,0.00173325906968419,0.0319387230080252,0.142477922156775,-45.744888675478
962,0.00350045832086947,0.0239128419669279,0.161160197384955,-46.8802334475112
799,0.0230980438575248,0.0186136441016019,0.0808457934342078,-52.6978330572497
991,0.00259769915642431,0.037424267819325,0.0971112238611114,-46.3700572262871
979,0.00292382964030787,0.0389827343487051,0.165589088694201,-46.9301818413359
968,0.00148656577379877,0.0338181434718567,0.0736734406028061,-45.0356279676596
975,0.00291738866577812,0.0285607163732319,0.373616658895304,-50.4968630783454
912,0.000132776064948412,0.0126284770963593,0.143657652244137,-46.5080580631474
909,0.000257277648900125,0.0227020363781899,0.170962796006153,-43.3930377301973
819,0.00787382428247431,0.0264962718595319,0.153367744935948,-45.3587606899735
765,0.00139300700547101,0.0226896331434811,0.1392352261485,-43.14376328324
818,0.0251844231631438,0.0563913519130404,0.169947454695383,-54.2781007320175
791,2.25552939874552e-06,0.0284715380944941,0.144622104808354,-45.8240226905534
881,0.00210479945425594,0.0145271975563582,0.082457489162105,-45.8794275514715
964,0.00061155809102517,0.032143385359636,0.117577532141681,-42.0927768954883
923,0.000285295234481932,0.0363402178606249,0.137536107237066,-42.4366532065011
965,0.0020868022065576,0.0314749001874586,0.0894053665954956,-42.3575865738547
748,0.00114131141041986,0.0148666764980894,0.0976750771326048,-45.9785498798385
971,0.00646875093727705,0.0189121199437935,0.113247490530316,-47.4851144933262
906,0.000468818560402804,0.0173264884976323,0.088765229125458,-45.5170710710695
824,0.0064477832571058,0.0253370442405395,0.0690395292119815,-48.186428199946
734,0.00011145262512638,0.0231488350232596,0.106111707630054,-45.2345214829194
866,0.00181916522427181,0.0106808142586552,0.0642587722299834,-46.6113518965472
863,0.000137567742699388,0.0124205666667789,0.153205926870459,-44.3256315509827
971,0.00102052060926694,0.0131851254011984,0.100502320716797,-42.3166163840942
749,4.54126497542869e-05,0.0162217845194639,0.0682176798383615,-41.51961987483
861,0.705627628370755,0.522558345526029,0.32037984576059,-63.4286628719835
857,0.781463690546591,0.529651402982182,0.0520019842538733,-63.0159499817984
729,0.409441492409393,0.306285363198208,0.42245712449452,-63.4767944111139
803,0.00251100656460459,0.0510342779498828,0.105942133464473,-49.1701968542243
806,0.00389151433935731,0.025034668389187,0.145167648920991,-47.5858115995107
834,0.000143898517422695,0.0252190486530988,0.201253962999107,-47.219951358393
740,0.906726148190716,0.520062755900606,0.242965615871438,-61.9942301942006
780,1.04611014451925,0.696937690926544,0.407877876953824,-62.068470851994
750,0.685405933428023,0.454330802242134,0.572588079463513,-61.2202779963988
815,0.0017084138963983,0.027471144159934,0.0857235059312273,-42.9763172536595
735,0.00819479845665992,0.0223706087295916,0.147881619028246,-45.38716616314
