"order","rate","type"
"blattodea",0.268754349590619,"fission"
"blattodea",0.237736420136972,"fission"
"blattodea",0.189318624835182,"fission"
"blattodea",0.267350862760049,"fission"
"blattodea",0.162569993616139,"fission"
"blattodea",0.229258443145674,"fission"
"blattodea",0.398494238742743,"fission"
"blattodea",0.255233888548278,"fission"
"blattodea",0.090626839548723,"fission"
"blattodea",0.216171138170901,"fission"
"blattodea",0.236708652944207,"fission"
"blattodea",0.189720535987228,"fission"
"blattodea",0.135309645959239,"fission"
"blattodea",0.234737421203353,"fission"
"blattodea",0.203186858565713,"fission"
"blattodea",0.182463801612577,"fission"
"blattodea",0.105123671405408,"fission"
"blattodea",0.121484859227288,"fission"
"blattodea",0.158175583332473,"fission"
"blattodea",0.210677221110157,"fission"
"blattodea",0.199126851388741,"fission"
"blattodea",0.158993429639038,"fission"
"blattodea",0.231033388303626,"fission"
"blattodea",0.145514104198298,"fission"
"blattodea",0.429369201071242,"fission"
"blattodea",0.571549785099346,"fission"
"blattodea",0.324525150140769,"fission"
"blattodea",0.209867317591064,"fission"
"blattodea",0.163949818281157,"fission"
"blattodea",0.2213228894422,"fission"
"blattodea",0.27243625319293,"fission"
"blattodea",0.176000269327149,"fission"
"blattodea",0.185741745034855,"fission"
"blattodea",0.131939381809489,"fission"
"blattodea",0.126501296234225,"fission"
"blattodea",0.137209494483144,"fission"
"blattodea",0.106444605951517,"fission"
"blattodea",0.161891872266947,"fission"
"blattodea",0.137608060324106,"fission"
"blattodea",0.319159986044417,"fission"
"blattodea",0.193637137298613,"fission"
"blattodea",0.199483261393457,"fission"
"blattodea",0.132714921947161,"fission"
"blattodea",0.174046997453972,"fission"
"blattodea",0.216684942691238,"fission"
"blattodea",0.150548358457955,"fission"
"blattodea",0.27409530116422,"fission"
"blattodea",0.26183141008037,"fission"
"blattodea",0.150436474665193,"fission"
"blattodea",0.435887912176259,"fission"
"blattodea",0.182347513564735,"fission"
"blattodea",0.298652288867659,"fission"
"blattodea",0.185264872593537,"fission"
"blattodea",0.297683996365665,"fission"
"blattodea",0.133968752693724,"fission"
"blattodea",0.186818081552248,"fission"
"blattodea",0.169092193151807,"fission"
"blattodea",0.224926101266646,"fission"
"blattodea",0.197421711303169,"fission"
"blattodea",0.360108235452147,"fission"
"blattodea",0.165444562768597,"fission"
"blattodea",0.204680777166145,"fission"
"blattodea",0.121952557823614,"fission"
"blattodea",0.226600073108325,"fission"
"blattodea",0.22827654095913,"fission"
"blattodea",0.314173503692796,"fission"
"blattodea",0.217298484835683,"fission"
"blattodea",0.175015913970436,"fission"
"blattodea",0.13541616886656,"fission"
"blattodea",0.234452502306288,"fission"
"blattodea",0.273039916274752,"fission"
"blattodea",0.252448537455143,"fission"
"blattodea",0.136469375293535,"fission"
"blattodea",0.140630596360673,"fission"
"blattodea",0.174056509100857,"fission"
"blattodea",0.161574114257678,"fission"
"blattodea",0.235526624358328,"fission"
"blattodea",0.174943449619592,"fission"
"blattodea",0.220480784422777,"fission"
"blattodea",0.179195194069096,"fission"
"blattodea",0.207764040162126,"fission"
"blattodea",0.12414258566965,"fission"
"blattodea",0.170100101378588,"fission"
"blattodea",0.144571421872761,"fission"
"blattodea",0.2163469362057,"fission"
"blattodea",0.302382416341661,"fission"
"blattodea",0.32675354215896,"fission"
"blattodea",0.131295058669293,"fission"
"blattodea",0.144446785683525,"fission"
"blattodea",0.129902887360845,"fission"
"blattodea",0.199695287881908,"fission"
"blattodea",0.176947999291559,"fission"
"blattodea",0.191872588363485,"fission"
"blattodea",0.111473143573666,"fission"
"blattodea",0.266685907631473,"fission"
"blattodea",0.229533563118983,"fission"
"blattodea",0.264441340898849,"fission"
"blattodea",0.267072699102933,"fission"
"blattodea",0.22554492016237,"fission"
"blattodea",0.224925081505572,"fission"
"blattodea",0.239603577614114,"fission"
"blattodea",0.155697441848746,"fission"
"blattodea",0.116321221325975,"fission"
"blattodea",0.133609983261297,"fission"
"blattodea",0.175144536288052,"fission"
"blattodea",0.131063394404891,"fission"
"blattodea",0.183121125574668,"fission"
"blattodea",0.214719566676714,"fission"
"blattodea",0.25518572074177,"fission"
"blattodea",0.17330103016281,"fission"
"blattodea",0.158502836805616,"fission"
"blattodea",0.129109538212275,"fission"
"blattodea",0.28542252329966,"fission"
"blattodea",0.204080461454079,"fission"
"blattodea",0.20606181408413,"fission"
"blattodea",0.130991015575502,"fission"
"blattodea",0.205180647553367,"fission"
"blattodea",0.0865087870389793,"fission"
"blattodea",0.216488750159108,"fission"
"blattodea",0.265011592452656,"fission"
"blattodea",0.124990529158289,"fission"
"blattodea",0.333881062580127,"fission"
"blattodea",0.241571798799628,"fission"
"blattodea",0.205169861820697,"fission"
"blattodea",0.143668068566204,"fission"
"blattodea",0.141330408092264,"fission"
"blattodea",0.44029772380959,"fission"
"blattodea",0.270069570216019,"fission"
"blattodea",0.207802514155406,"fission"
"blattodea",0.19050277275662,"fission"
"blattodea",0.284409224988598,"fission"
"blattodea",0.330528133383853,"fission"
"blattodea",0.2716356495172,"fission"
"blattodea",0.127636161390847,"fission"
"blattodea",0.234119595907236,"fission"
"blattodea",0.191996064765499,"fission"
"blattodea",0.0657138528433862,"fission"
"blattodea",0.198333049394757,"fission"
"blattodea",0.289797659219894,"fission"
"blattodea",0.372999014609843,"fission"
"blattodea",0.2155916313694,"fission"
"blattodea",0.148409431237724,"fission"
"blattodea",0.198324169384096,"fission"
"blattodea",0.115180505868755,"fission"
"blattodea",0.159544598748705,"fission"
"blattodea",0.185949323474991,"fission"
"blattodea",0.144915440371347,"fission"
