"order","rate","type"
"blattodea",0.0626698483415642,"fission"
"blattodea",0.168933387421092,"fission"
"blattodea",0.00266331024792785,"fission"
"blattodea",0.0307635589218537,"fission"
"blattodea",0.162190028196246,"fission"
"blattodea",0.0472630548225431,"fission"
"blattodea",0.136895822895537,"fission"
"blattodea",0.0598079409215922,"fission"
"blattodea",0.0474502517641027,"fission"
"blattodea",0.132064608797649,"fission"
"blattodea",0.0404016079920134,"fission"
"blattodea",0.0126309815790174,"fission"
"blattodea",0.163673715084875,"fission"
"blattodea",0.143678895107593,"fission"
"blattodea",0.209574146310753,"fission"
"blattodea",0.0391666902801426,"fission"
"blattodea",0.0979383677784646,"fission"
"blattodea",0.0276862637145743,"fission"
"blattodea",0.0430969630277647,"fission"
"blattodea",0.151113425630961,"fission"
"blattodea",0.135697266396464,"fission"
"blattodea",0.138090457233492,"fission"
"blattodea",0.0651502440863803,"fission"
"blattodea",0.189113723853105,"fission"
"blattodea",0.0800715132558292,"fission"
"blattodea",0.0754651076363295,"fission"
"blattodea",0.100959906594592,"fission"
"blattodea",0.0723420989791078,"fission"
"blattodea",0.0488923112606191,"fission"
"blattodea",0.0658528785351342,"fission"
"blattodea",0.0372367837018531,"fission"
"blattodea",0.0557541010479099,"fission"
"blattodea",0.0849591438639629,"fission"
"blattodea",0.0808456636663719,"fission"
"blattodea",0.100518771739627,"fission"
"blattodea",0.135858224471384,"fission"
"blattodea",0.00407637727305576,"fission"
"blattodea",0.0575073411219679,"fission"
"blattodea",0.0407008843530653,"fission"
"blattodea",0.107124372307654,"fission"
"blattodea",0.187806246944943,"fission"
"blattodea",0.175629190586973,"fission"
"blattodea",0.0151785231174414,"fission"
"blattodea",0.13299469599432,"fission"
"blattodea",0.00662869165947756,"fission"
"blattodea",0.0121137241327218,"fission"
"blattodea",0.0102135171131478,"fission"
"blattodea",0.03891646507783,"fission"
"blattodea",0.125982667098767,"fission"
"blattodea",0.00331366973029161,"fission"
"blattodea",0.0581865786757757,"fission"
"blattodea",0.0104293348116766,"fission"
"blattodea",0.0151597293868371,"fission"
"blattodea",0.0994767023631052,"fission"
"blattodea",0.158616892300441,"fission"
"blattodea",0.206477175501359,"fission"
"blattodea",0.13153972778173,"fission"
"blattodea",0.0284009810662901,"fission"
"blattodea",0.0635318826772615,"fission"
"blattodea",0.100439796214019,"fission"
"blattodea",0.0849477953389463,"fission"
"blattodea",0.0806538781611794,"fission"
"blattodea",0.0967851977733221,"fission"
"blattodea",0.0792489967121303,"fission"
"blattodea",0.113546929881203,"fission"
"blattodea",0.0891599073753524,"fission"
"blattodea",0.0632424726116271,"fission"
"blattodea",0.0727449140306426,"fission"
"blattodea",0.040741953483978,"fission"
"blattodea",0.045120005107755,"fission"
"blattodea",0.236070358766161,"fission"
"blattodea",0.11277047305286,"fission"
"blattodea",0.100333948220075,"fission"
"blattodea",0.113743443315292,"fission"
"blattodea",0.0697321071251709,"fission"
