"i","asc1","desc1","pol1","p"
701,0.802645814630921,1.06339097327242,0.00847951456465422,-114.400942077776
702,0.817393265460468,1.05245955610073,0.00365365062559143,-113.819830884079
703,0.780040495125643,0.953048766898914,0.0047515420228275,-114.536821373309
704,0.689282733479642,0.95490784662327,0.00428639621127343,-114.379567755821
705,0.690232115556147,0.918158928035128,0.00676364653105904,-113.841120225687
706,0.647125948471791,0.919833206296503,0.038234917074997,-117.470149045935
707,0.620696164983707,0.94634418604054,0.0248003613458826,-116.745636907618
708,0.599361612621914,0.804210437666741,0.0163094874850104,-114.937774184402
709,0.56796402636443,0.800998160553707,0.0156217274032581,-114.84935588828
710,0.607454227479142,0.851720530801843,0.0049793475266705,-114.347828872792
711,0.59841407936,0.746861214697114,0.000688976838657681,-112.54993412826
712,0.574439718021711,0.666828654703469,0.000887657930290907,-114.447765872891
713,0.535079562751019,0.661762675752261,0.000643185894738428,-112.356034236168
714,0.461032211566599,0.634270174779726,0.00534784336724044,-113.291312625406
715,0.461978796285392,0.609695481513045,0.00191257491116788,-112.290823310999
716,0.465580141356344,0.588570585854545,0.000275865694610686,-111.773788623682
717,0.472776067701473,0.596477418019757,0.000222880106411199,-111.799133733464
718,0.489537596400228,0.598862164540024,0.000238859787637421,-112.175988762774
719,0.491785663612284,0.647777714473916,0.00064966663914068,-112.21441209097
720,0.517878758515404,0.660580831613238,0.00161627589266853,-112.297795612549
721,0.537064787386237,0.694699428320514,0.000370429119438722,-112.184214923744
722,0.536527857331885,0.702886464488858,0.000321200597502934,-112.30098788469
723,0.587780413334857,0.804227911406746,0.000780743597540098,-113.466630280352
724,0.689484651797219,0.764582240389389,0.000388964624926746,-117.508933294692
725,0.571717220512933,0.754756528772049,0.000884882576691826,-112.631635431996
726,0.603585649565107,0.796362004717013,0.00168752223365729,-112.853667161727
727,0.576097505115325,0.694704274193267,0.000110693247374224,-112.859827485616
728,0.520732994882673,0.653367575436912,0.000140386162298407,-112.027959753297
729,0.532193075313182,0.645148117518235,0.000124259573615589,-112.525689509583
730,0.502474135466243,0.635025941588175,0.00145160106318058,-112.229146459788
731,0.500591460881725,0.654884600045732,0.01084908821445,-114.143024750397
732,0.499313597047962,0.671645211618765,0.0124406137003856,-114.223033460531
733,0.484225516461562,0.640769548997376,0.00812685900949559,-113.457302271708
734,0.482216639712846,0.639131082328094,0.00683353871498194,-113.207400489728
735,0.490135666469041,0.65600583146004,0.0041567820380348,-112.869740525484
736,0.531371771672418,0.726308618577602,0.00996867594455269,-113.91393391844
737,0.601675396867675,0.730216895233669,0.00433947977063052,-114.093284821645
738,0.518122009751282,0.638822119919872,0.0112876910325919,-115.770987621039
739,0.449453607912336,0.574256052250285,0.0035447291235747,-112.505333836598
740,0.394024348551238,0.5438323543013,0.00493842434085916,-113.06671648168
741,0.396163997799968,0.530614399438659,0.000628494646888812,-112.064739610689
742,0.397264411885796,0.519121617005059,0.00609897282351718,-112.937071771556
743,0.364696416059834,0.439930495340553,0.0029980453246112,-113.039541656628
744,0.329051636898907,0.438268875943823,0.011024089953539,-114.317933570536
745,0.324181872168005,0.43479401515784,0.0216506527674975,-118.289739638133
