"X","i","asc1","desc1","p"
701,701,0.781363774244903,0.782879974367029,-952.322336025081
702,702,0.795695077977674,0.760453758549795,-951.274934625204
703,703,0.787025845865962,0.773457427535539,-951.645408055698
704,704,0.827896128954235,0.793908030912095,-952.595264694811
705,705,0.825761755819963,0.766276345996772,-952.571994731714
706,706,0.820807552202284,0.765323008848211,-952.279577126334
707,707,0.728658737603095,0.782906697424205,-954.672712103756
708,708,0.758223752402122,0.68272525197249,-950.963096064125
709,709,0.729694733646988,0.677266138911342,-948.905922347027
710,710,0.720896765450741,0.69718064416654,-948.74779369537
711,711,0.680940809447006,0.674958640802057,-948.245399060391
712,712,0.729203752239725,0.718685911345121,-949.596333597014
713,713,0.720384236194226,0.703311140122022,-948.972833969692
714,714,0.737116056448734,0.673454542664342,-949.536991193754
715,715,0.702076931458966,0.672873013152807,-947.978519393376
716,716,0.682231168825857,0.631557950639404,-947.42729093275
717,717,0.663476856358072,0.605112763337889,-947.226347122207
718,718,0.620312999899747,0.573861223639376,-945.926048672538
719,719,0.571079159934848,0.549485103291688,-945.347675548809
720,720,0.596479496133812,0.553295651112736,-945.511605014212
721,721,0.556596977262181,0.530343011924904,-945.19274962608
722,722,0.541724833649336,0.510448752283183,-945.175928901677
723,723,0.53531339380183,0.495753580580537,-945.301360559616
724,724,0.53817026834401,0.497454422220708,-945.304620902472
725,725,0.567225628642344,0.543200610898608,-945.267402187299
726,726,0.591297613696696,0.554476799192954,-945.367108790325
727,727,0.61474056280734,0.568166553874482,-945.839162386609
728,728,0.584812124352407,0.590542570142529,-946.860491630098
729,729,0.639536351488444,0.59997083853769,-946.189016077406
730,730,0.590135720201157,0.575571290273762,-945.771835987942
731,731,0.610979104896686,0.568143711027603,-945.698319661076
732,732,0.576162161159175,0.519403050581779,-945.910243295735
733,733,0.525567977163447,0.502337159481975,-945.3771662264
734,734,0.524379990734592,0.493223255436632,-945.319475192077
735,735,0.523621348007148,0.47257932703484,-945.893683312468
736,736,0.507144117017285,0.487918615170242,-945.728294207849
737,737,0.53094966639907,0.486764657308979,-945.476118457467
738,738,0.533473510804142,0.516621327143422,-945.476397751617
739,739,0.546684064690338,0.52011768478529,-945.192714734863
740,740,0.549853457192174,0.529444882149838,-945.313689126043
741,741,0.551911213564069,0.509057044335807,-945.290023050811
742,742,0.555660878779143,0.550306658777606,-945.948979454839
743,743,0.532117763446343,0.481950271481461,-945.724731395335
744,744,0.505721043250329,0.486553006431946,-945.75640958335
745,745,0.521583855393594,0.466112721722851,-946.214194390021
746,746,0.485351107166431,0.448711719719113,-946.245837231988
747,747,0.477937393242103,0.48388399128372,-947.462137656528
748,748,0.533225003159149,0.491610668784533,-945.371120890163
749,749,0.529423117266751,0.455501837013712,-947.906947490446
750,750,0.511763534839911,0.446204999314099,-947.338887434971
751,751,0.505318825031828,0.480681461827454,-945.661273711448
752,752,0.520093873120306,0.48931269338145,-945.374500105588
