"i","asc1","desc1","pol1","p"
1,0.141001627032235,11.4872442639279,3.91162098281465,-157.708210281788
2,0.138210754412522,10.8888353054654,2.59160228039427,-155.788675783444
3,1.669950887571,10.936244773774,2.70932177117075,-154.215745113633
4,1.68670252761643,10.7581052701122,2.54909853865345,-153.417546630384
5,0.589760896595467,7.87287561914692,1.55995301840979,-148.86814023382
6,3.01031277085568,8.55279831845497,1.28636471420235,-146.051200152844
7,2.73841182635866,7.73573468889951,1.22671162857427,-143.815495006138
8,2.48179540948666,6.12007545947697,0.870941845827517,-138.63030497976
9,1.97045429648397,4.72983400230713,0.354553753622978,-136.627070619808
10,2.94128402040987,4.8355208213387,0.0696346182621389,-133.028924466929
11,3.4087959175755,5.19246233325118,0.0489457833938743,-131.57803330207
12,4.0710899139437,5.11734683756544,0.0236836706394921,-128.846353602237
13,3.96692299668646,5.18473194596018,0.025150590604853,-128.612290851841
14,3.7310526216042,4.81293008109302,0.0638502393025896,-128.714905096946
15,3.31727651839802,4.7278689496371,0.145130420066942,-129.415067193249
16,3.4953798779293,4.89561988605668,0.0924763525047487,-128.940873852561
17,3.76160568189095,4.90210878840702,0.0974910882253215,-129.937769117204
18,4.21054073360063,5.58058476027311,0.010770169861197,-129.69222043558
19,4.12211141975058,5.33411566434227,0.0289741309078185,-129.294217642888
20,3.7919279476541,5.02183342698993,0.0023189323876905,-127.596084823009
21,3.96632882510371,5.0139726171992,0.0226190669400557,-128.339848251591
22,3.51252236796189,4.67363995962328,0.023455875122799,-126.812571272121
23,3.58463426584597,4.42625366880445,0.0134849822965432,-126.478033457344
24,3.17402729091587,4.09673842291132,0.0203165227235387,-124.84858672345
25,3.23877282711652,4.41242341529071,0.00998728485495269,-125.933857573907
26,3.43171391348752,4.48632463397672,0.00673161664073915,-125.749689667293
27,3.49014270835453,4.1837909688657,0.00160955705417479,-125.968134514383
28,3.26736067903739,4.23115538755352,0.0375538717388065,-125.864883899223
29,2.87348056116564,3.58517615309657,0.0237900553684326,-123.871311946233
30,2.50556827121566,3.45661614677447,0.0417229293088754,-123.350143508547
31,2.60161625984009,3.46520966071478,0.0501648732662019,-123.634323620298
32,2.62910005960202,3.6971579391617,0.0840280069261396,-125.120683727749
33,2.50150103115612,3.20147658279474,0.0901587526999298,-126.002934286711
34,2.18385973409064,3.27236695345106,0.0680030791751437,-124.221642411407
35,2.55179883638459,3.67208076534375,0.0295002139378388,-124.684281607599
36,2.60858879675531,3.61164699322703,0.028192709302225,-123.670002532954
37,2.57422252241644,3.20355937959314,0.0122667289271516,-122.013086436701
38,2.28847716363378,2.77706492048828,0.0139621861397947,-121.44070421925
39,2.0382576923322,2.71177531873837,0.00930407701883209,-119.776821619248
40,2.05504923173138,2.66412443617669,0.0293449337742053,-120.591654108436
41,1.99298574693086,2.56141552498046,0.0191268115020288,-119.788849885811
42,1.96432483250252,2.52143209714392,0.0149436071102628,-119.42558553423
43,1.92512928686145,2.42156478609446,0.0258647014706684,-120.240566940897
44,1.88682658822372,2.49412849711284,0.0360716917614642,-120.266772091121
45,1.83869772335314,2.40848254565754,0.00796070554656837,-118.609987166018
46,1.88098582472889,2.39193465311212,0.00517300702019423,-118.481785030723
47,1.83251905108893,2.29450641980623,0.017639135080963,-119.322123778062
48,1.72375570544042,2.21093136174099,0.00281755968874095,-117.661483568714
49,1.61677833366877,2.11568417134611,0.0179306549835955,-118.196912937142
50,1.70172793031768,2.3923849422313,0.0617707072852634,-120.884323390409
51,1.7012226004853,2.36450336021581,0.0606508702311304,-120.815780847102
52,1.68863539766789,2.31918202890979,0.0241099069295766,-119.238930933365
53,1.65804838569163,2.43858544268673,0.018973486129322,-121.179681822355
54,1.87943225203662,2.43351215448403,0.0059327400871588,-118.58607473276
55,1.85044228316934,2.29406194623666,0.00616509673723416,-118.588789514668
56,1.68128240632887,2.0718228519319,0.0160184816221338,-118.951837839565
57,1.67697062596919,2.26570833555767,0.0362916414740622,-119.515628591754
58,1.65484486895695,2.36237447123908,0.0499184643052619,-120.441533827192
59,1.67776264818767,2.3664493027678,0.0723766071943698,-121.276206858652
60,1.62584598285723,2.34971172549307,0.0224815031272205,-120.283098287443
61,1.86375956414085,2.56806244401452,0.0211288663851724,-120.007622008287
62,1.87336044783846,2.41643866967937,0.00844121019416566,-118.670979374192
