"i","asc1","desc1","p"
1,0.406172004204263,19.0451289453539,-627.306041941469
2,46.3425650577068,24.6907061229465,-460.161170717374
3,31.649838831132,42.6595917648124,-259.586955523927
4,31.7068316995978,39.7643433705099,-253.314014646505
5,21.8728778689486,19.5828913326355,-230.238420396151
6,10.9261022785105,16.1206419007954,-168.521074869612
7,12.7720283065378,15.4268657422208,-167.404029135924
8,10.5319259450587,14.0592691513343,-159.946612220954
9,10.6994019758047,14.1573050833583,-160.322700018646
10,10.6095186620441,12.7715510764581,-157.861095820117
11,8.83906039744039,10.843823611709,-150.022910536159
12,7.58147674444066,10.8773065864997,-150.000570712964
13,7.57343644698697,10.21425463265,-146.557743249581
14,7.48473851323553,9.47311652491721,-144.23739738205
15,7.4532599198533,9.30305063644924,-143.925813145546
16,6.91371928341079,8.60922874520177,-141.483806177776
17,6.04443693679195,8.23647842187946,-139.802614795851
18,6.56338895897648,7.97858929029754,-139.931376481926
19,6.52898573719596,8.23215324786312,-139.859931087157
20,6.44031228958948,8.10953636882773,-139.444546799922
21,6.25567634736352,7.5230723624245,-138.684532687947
22,5.62363602488713,7.1261769571823,-135.817641278798
23,5.36507709161801,6.65820457411824,-134.524633230026
24,5.44454667453598,6.96092563492185,-135.122355076044
25,5.38639383238722,6.589137682461,-134.663163992355
26,5.26009605832155,6.38933815276693,-134.164330192205
27,5.01470022267777,6.61887881176578,-133.838324454507
28,4.95688434209397,6.91730310871676,-135.731243596114
29,5.37224402099324,6.5436290045464,-134.634119932495
30,5.12270441920116,6.31606500699512,-133.448865590834
31,4.75569456220491,5.63839517841347,-132.380244927356
32,4.67951178481297,5.62336391690866,-131.754527314177
33,3.88017488254884,4.65997751378736,-128.246885035806
34,3.51579891045488,4.47942630305929,-126.300164281459
35,3.92128993562594,4.55910063290634,-129.376306735614
36,3.65888208607534,4.96926548035721,-128.409504861047
37,3.73125540872091,4.33285735404929,-128.602523185164
38,3.28073902016873,3.91251316201373,-125.773829502967
39,2.86980674239744,3.75675727522831,-123.716096196291
40,2.68329902026719,3.54923221977446,-123.068706337497
41,2.62516950716162,3.12192211347373,-122.97733968797
42,2.37891227668905,3.07523030662485,-121.260627893945
43,2.20773560650654,2.90454440624202,-120.749837278324
44,2.15733963012012,2.9465803743788,-121.512599150831
45,2.18637939966261,2.87942063749799,-120.671030900901
46,2.33445689450169,2.95277443975238,-120.89832231777
47,2.35043173061283,2.98983061322374,-120.991297747253
48,2.40926477841072,3.11312916458451,-121.394540982964
49,2.52527325462196,2.97387912012065,-122.849646727271
50,2.1382663062227,2.94044615853623,-121.659459125056
51,2.21352773895801,2.68113419017289,-120.723461008787
52,2.39031458295808,2.70064978835094,-124.208440636931
53,1.87725368947862,2.74722033946405,-123.261067394381
54,2.33421818990008,2.70715216789552,-122.618638445456
55,2.14767245436713,2.68443466460005,-120.064086979334
56,2.1523805191057,2.75266880977966,-120.121907529342
57,2.19840636402743,2.62129279710678,-121.032605117606
58,2.00937156655972,2.37167654512757,-120.523725551485
59,1.63427236344719,2.14768597485314,-118.074394139916
60,1.54318218882216,1.95409436398277,-117.314668897969
61,1.57298863404468,2.1330670076119,-118.526291446084
62,1.53322363739573,1.94814180048501,-117.274925969823
63,1.54809702823774,2.22562676784992,-120.720884530817
64,1.63308613811496,1.95531086171516,-118.435985394207
65,1.58431441282621,1.76737983375788,-121.605405532209
66,1.40676359348518,1.62851300046694,-118.696995129171
67,1.27143096282455,1.54118706532927,-116.540113066522
68,1.22205244141997,1.48596606687667,-116.256489595945
69,1.10472895911514,1.40177457631816,-115.327696700827
70,1.09477557032902,1.51301775345639,-116.872724221596
71,1.18733164105304,1.47713329617116,-115.777154068846
72,1.10725970297652,1.35477773709222,-115.631331748701
73,1.07033126838958,1.26377677217944,-116.411523009196
74,0.96501934019459,1.24933292930799,-114.790743138594
75,0.981721372721969,1.20613601001337,-115.005007878191
76,0.959081145606817,1.22745605029304,-114.686078738171
77,1.02782820343293,1.37995465963483,-115.696653677328
78,1.04259313929251,1.3365120022885,-115.0746168616
79,1.04930879637996,1.32157516391809,-115.08516673286
80,1.02678017303776,1.23868111762475,-115.567648836708
81,0.970990306715076,1.31236939891959,-115.599470951618
82,1.06800389876773,1.23654732762137,-117.221087734309
83,1.06901779101466,1.49973013994231,-117.311461612983
84,1.08489147573824,1.50672337200251,-117.001053074001
85,1.10872566334679,1.30375843691435,-116.732751826317
86,1.00142919217227,1.18591732615117,-116.003918528154
87,0.984996838181487,1.31303530891914,-115.333531607908
88,1.04211201038423,1.3832721038539,-115.512042526462
89,1.05072182406855,1.23333122819556,-116.548972065118
90,0.886391577154164,1.15318204929845,-114.479600360912
