"","i","asc1","desc1","p"
"1",1,0.184690161080287,0.20185827980719,-452.605884242145
"2",2,0.220417272879951,0.188510659982711,-439.88194208044
"3",3,0.219352418045002,0.190376953740722,-439.430684683378
"4",4,0.204793822069139,0.174086148229298,-438.311252357857
"5",5,0.196134419551754,0.176253434456271,-436.018781646483
"6",6,0.179936003123449,0.17876052268208,-437.172070926278
"7",7,0.195649021118597,0.183699024519331,-436.995931351604
"8",8,0.180925828551321,0.173728533900981,-435.018240310387
"9",9,0.174056574776374,0.148501849900854,-434.212326724074
"10",10,0.132523789719305,0.133975732715855,-424.10454893156
"11",11,0.132115444748896,0.122948974069974,-423.25626980283
"12",12,0.128081877585685,0.129477313232011,-422.608219169521
"13",13,0.121802235446872,0.127005584208419,-421.579583260046
"14",14,0.123723596337605,0.110328411623242,-422.755109827747
"15",15,0.111701998602929,0.109515068566417,-416.740599050618
"16",16,0.106658881469712,0.104993079341414,-414.980259492801
"17",17,0.101864424071572,0.100312738983579,-413.246996575782
"18",18,0.0950011400276861,0.100034926547857,-410.493492544904
"19",19,0.0948559994527155,0.0900753251622396,-411.496554773114
"20",20,0.0683724856207024,0.084767654020634,-399.022337659958
"21",21,0.0705525190342094,0.0764319769519599,-397.395930613423
"22",22,0.0467202055947143,0.0485583178010617,-377.92929036216
"23",23,0.0103667561584541,0.0255300757445298,-303.733582391836
"24",24,0.00807228842646405,0.0245134452984593,-296.690994638827
"25",25,0.0013141839554452,0.0253836780491318,-285.813126139434
"26",26,0.000711721025067542,0.0123865600567893,-238.935088580142
"27",27,0.00141761869625728,0.00355281025592019,-202.955542891505
"28",28,0.00123668676045123,0.00403394347088147,-201.813663554919
"29",29,0.00127205683810001,0.00407841189120226,-201.973383584398
"30",30,0.00135090361234989,0.00530431790145988,-204.178619578405
"31",31,0.00115090714843764,0.00415190624741638,-201.513115616163
"32",32,0.000691724931760824,0.00338034166747012,-200.677328678354
"33",33,0.000666493148474897,0.00337970729088188,-200.663824085024
"34",34,0.000560001530112803,0.00439112062874561,-200.830961477679
"35",35,0.000988816357662587,0.00484551092531272,-201.941287595474
"36",36,0.00134324480093377,0.00283177831938955,-204.64054482477
"37",37,0.000657783307751508,0.0050849671418454,-202.137023681498
"38",38,0.000653120545542669,0.00375742336977196,-200.335767549102
"39",39,0.000593172623945174,0.00329905960926976,-200.806956391941
"40",40,0.000476371932907306,0.00421708745023754,-200.840558601497
"41",41,0.00082130891354629,0.0043338422852876,-200.76311748373
"42",42,0.00056555644317076,0.00305277121513131,-201.401993496439
"43",43,0.000630233211297623,0.00488620905503782,-201.667871706255
"44",44,0.00043750564966148,0.00472427632353096,-201.816199375161
"45",45,0.000914639950058015,0.00409763864598285,-200.74391564441
"46",46,0.000727783452368201,0.00400237793880188,-200.388596001278
"47",47,0.00118389590930387,0.00459051255978956,-202.082680098543
"48",48,0.000585772149316343,0.00437317034607164,-200.763604929066
"49",49,0.000719356414592632,0.00390194449549236,-200.35392612207
"50",50,0.000730566064775418,0.0038966680007406,-200.362192662567
"51",51,0.000606331932917896,0.00396954550414897,-200.375190573334
"52",52,0.000849697881196269,0.00327479876643542,-201.131536885844
"53",53,0.00118182464045868,0.00340173123602898,-202.065102442499
"54",54,0.00124112413671671,0.00442183096798461,-202.081401245023
"55",55,0.000886067740069971,0.00385829874042403,-200.619172960244
"56",56,0.000265710115430045,0.004530246007964,-202.851202583531
"57",57,0.000729678807569278,0.00370875206849704,-200.389629369025
"58",58,0.00097347731782952,0.00390306293544465,-200.849441580195
"59",59,0.000776623456429537,0.00393335676546889,-200.419099134795
"60",60,0.000485777626267827,0.00350549618498542,-200.717398702917
"61",61,0.0009319450351158,0.00455133955822941,-201.270957746091
"62",62,0.000714436845611007,0.00439775957668038,-200.739378265898
"63",63,0.000441397984496807,0.00384784040937303,-200.752226613545
"64",64,0.000853500645856396,0.00417127578439349,-200.660424406026
"65",65,0.000462291535861007,0.0041508472730939,-200.828412967246
