Order,species,SCS,haploid-homo
Hymenoptera,Myrmecia croslandi,,1
Coleoptera,Chalcolepidius zotus     ,XY,2
Diptera,Cnephia pallipes,not reported,2
Diptera,Cricotopus f.l.ex.Gr.Bicinctus,not reported,2
Diptera,Cryptochironomus obreptans,not reported,2
Diptera,Eusimulium aureum,not reported,2
Diptera,Eusimulium kazahstanicum,not reported,2
Diptera,Simulium bracteatum,not reported,2
Diptera,Simulium donovani,not reported,2
Diptera,Simulium exulatum,not reported,2
Diptera,Simulium manense,not reported,2
Diptera,Simulium pilosum,not reported,2
Diptera,Simulium violator,not reported,2
Hemiptera,Apiomorpha densispinosa,,2
Hemiptera,Apiomorpha sessilis,,2
Hemiptera,Auloicerya  acaciae,,2
Hemiptera,Crypticerya rosae,,2
Hemiptera,Crypticerya sp.,,2
Hemiptera,Echinicerya anomala,,2
Hemiptera,Gigantococcus maximus,,2
Hemiptera,Icerya aegyptiaca,,2
Hemiptera,Icerya aegyptiaca,,2
Hemiptera,Icerya bimaculata,,2
Hemiptera,Icerya brasiliensis,,2
Hemiptera,Icerya littoralis,,2
Hemiptera,Icerya montserratensis,,2
Hemiptera,Icerya purchasi,,2
Hemiptera,Icerya similis,,2
Hemiptera,Icerya tremae,,2
Hemiptera,Steatococcus tuberculatus,,2
Odonata,Macrothemis hemichlora,XY,2
Odonata,Orthemis levis,XY,2
Psocoptera,Gyropus ovalis,,2
Diptera,Ablabesmyia monilis,not reported,3
Diptera,Aedes aegypti,not reported,3
Diptera,Aedes aegypti,not reported,3
Diptera,Aedes aegypti,not reported,3
Diptera,Aedes albopictus,not reported,3
Diptera,Aedes albopictus,not reported,3
Diptera,Aedes albopictus,not reported,3
Diptera,Aedes alcasidi,not reported,3
Diptera,Aedes atropalpus,not reported,3
Diptera,Aedes bahamensis,not reported,3
Diptera,Aedes canadensis,not reported,3
Diptera,Aedes cinereus,not reported,3
Diptera,Aedes cinereus,XY,3
Diptera,Aedes communis,not reported,3
Diptera,Aedes cooki,not reported,3
Diptera,Aedes excrucians,not reported,3
Diptera,Aedes fitchii,XY,3
Diptera,Aedes flavopictus,not reported,3
Diptera,Aedes hebrideus,not reported,3
Diptera,Aedes heischii,not reported,3
Diptera,Aedes impiger,XY,3
Diptera,Aedes implicatus,XY,3
Diptera,Aedes japonicus,not reported,3
Diptera,Aedes katherinensis,not reported,3
Diptera,Aedes kesseli,not reported,3
Diptera,Aedes koreicus,not reported,3
Diptera,Aedes malayensis,not reported,3
Diptera,Aedes mascarensis,not reported,3
Diptera,Aedes metallicus,not reported,3
Diptera,Aedes micropterus,not reported,3
Diptera,Aedes polynesiensis,not reported,3
Diptera,Aedes pseudalbopictus,not reported,3
Diptera,Aedes pseudoscutellaris,not reported,3
Diptera,Aedes pullatus,XY,3
Diptera,Aedes scutellaris,not reported,3
Diptera,Aedes seatoi,not reported,3
Diptera,Aedes sierrensis,not reported,3
Diptera,Aedes sierrensis,XY,3
Diptera,Aedes simpsoni,not reported,3
Diptera,Aedes stimulans,not reported,3
Diptera,Aedes taeniorhynchus,not reported,3
Diptera,Aedes thomsoni,not reported,3
Diptera,Aedes togoi,not reported,3
Diptera,Aedes triseriatus,not reported,3
Diptera,Aedes unilenatus,not reported,3
Diptera,Aedes varipalpus,XY,3
Diptera,Aedes vittatus,not reported,3
Diptera,Aedes zoosophus,not reported,3
Diptera,Amauromyza flavifrons,XY,3
Diptera,Amauromyza verbasci,XY,3
Diptera,Amphicnephes sp.,XY,3
Diptera,Anopheles aconitus,XY,3
Diptera,Anopheles agrgyritarsus,XY,3
Diptera,Anopheles albimanus,XY,3
Diptera,Anopheles albitarsis,XY,3
Diptera,Anopheles algeriensis,not reported,3
Diptera,Anopheles annularis,XY,3
Diptera,Anopheles annulipes,not reported,3
Diptera,Anopheles aquasalis,XY,3
Diptera,Anopheles argyritarsis,not reported,3
Diptera,Anopheles atroparvus,not reported,3
Diptera,Anopheles atropos,not reported,3
Diptera,Anopheles aztecus,XY,3
Diptera,Anopheles balabacensis,XY,3
Diptera,Anopheles barberi,XY,3
Diptera,Anopheles barbirostris,not reported,3
Diptera,Anopheles barbumbrosus,XY,3
Diptera,Anopheles bradleyi,not reported,3
Diptera,Anopheles braziliensis,not reported,3
Diptera,Anopheles campestris,XY,3
Diptera,Anopheles christyi,not reported,3
Diptera,Anopheles claviger,XY,3
Diptera,Anopheles crucians,not reported,3
Diptera,Anopheles culicifacies,XY,3
Diptera,Anopheles culicifaciesA,XY,3
Diptera,Anopheles culicifaciesB,XY,3
Diptera,Anopheles darlingi,XY,3
Diptera,Anopheles darlingi,XY,3
Diptera,Anopheles dirus,XY,3
Diptera,Anopheles earlei,XY,3
Diptera,Anopheles engarensis,not reported,3
Diptera,Anopheles farauti,not reported,3
Diptera,Anopheles flavirostris,XY,3
Diptera,Anopheles franciscanus,XY,3
Diptera,Anopheles freeborni,XY,3
Diptera,Anopheles gambiae,XY,3
Diptera,Anopheles hectoris,not reported,3
Diptera,Anopheles indefinitus,not reported,3
Diptera,Anopheles jeyporiensis,XY,3
Diptera,Anopheles judithae,XY,3
Diptera,Anopheles kochi,not reported,3
Diptera,Anopheles labranchiae,not reported,3
Diptera,Anopheles letifer,XY,3
Diptera,Anopheles maculatus,not reported,3
Diptera,Anopheles maculipennis,XY,3
Diptera,Anopheles melanoon,not reported,3
Diptera,Anopheles melas,not reported,3
Diptera,Anopheles merus,not reported,3
Diptera,Anopheles messeae,not reported,3
Diptera,Anopheles minimusA,XY,3
Diptera,Anopheles minimusC,XY,3
Diptera,Anopheles neomaculipalpus,not reported,3
Diptera,Anopheles nigerrimus,XY,3
Diptera,Anopheles noroestensis,XY,3
Diptera,Anopheles nuneztovari,XY,3
Diptera,Anopheles occidentalis,XY,3
Diptera,Anopheles pampanai,XY,3
Diptera,Anopheles paraliae,XY,3
Diptera,Anopheles peditaeniatus,XY,3
Diptera,Anopheles perplexens,not reported,3
Diptera,Anopheles plubeus,XY,3
Diptera,Anopheles plumbeus,not reported,3
Diptera,Anopheles pseudopunctipennis,XY,3
Diptera,Anopheles pulcherrimus,not reported,3
Diptera,Anopheles punctimacula,not reported,3
Diptera,Anopheles punctipennis,XY,3
Diptera,Anopheles quadrimaculatus,XY,3
Diptera,Anopheles sacharovi,not reported,3
Diptera,Anopheles sinensis,not reported,3
