"i","asc1","desc1","p"
1,1.63586865338786,1.99336486426182,-932.793304125471
2,1.85330377608827,2.01635487214662,-924.652086539823
3,1.99194261763216,2.93736997502856,-916.769600430556
4,2.97925223648519,2.88013936804594,-883.526873929695
5,3.05932459945531,2.92506904183288,-881.609703344397
6,3.14343391745359,3.03877408564748,-880.06386687888
7,3.1766195203476,3.07795814514508,-879.505300657035
8,3.3000508331992,3.2628689282236,-878.473253478854
9,3.47168570378053,3.40830483028082,-875.457249494772
10,3.51771110934455,3.29843862032161,-875.262173498369
11,3.47098178655592,3.30949712987309,-874.918047046915
12,3.5952497648545,3.47735340785738,-873.352653055184
13,3.70884495042306,3.64213441177118,-872.550315503363
14,3.89309447421734,3.64694017269495,-872.018603993883
15,3.78333332086955,3.6489887775968,-871.247558637269
16,3.90676674395533,3.90439563855745,-872.011876788836
17,3.93651964218331,3.77475564348031,-869.98190469877
18,3.95519635707503,3.80676036909923,-869.743186694015
19,3.97372285111239,3.89415162465407,-869.855278560729
20,3.99243864416934,3.91434224907787,-869.722552614983
21,4.08116939724425,3.92256474329795,-868.860913858113
22,4.11260387591006,4.0645628803879,-869.282082127345
23,4.22886320795784,4.13492705381269,-867.93013147059
24,4.30462832463029,4.2533631549035,-868.015448442128
25,4.40846112073854,4.28806602327267,-866.878477654778
26,4.41172559198387,4.30431894841396,-866.893927418288
27,4.44639190923186,4.29816996193447,-866.780185716206
28,4.58686932603592,4.32292561408716,-868.582867648859
29,4.53214494125944,4.33707060947586,-866.985314822947
30,4.38819314410005,4.29004057619351,-867.049797694044
31,4.35207376205401,4.30181116752823,-867.77491886281
32,4.34688605624506,4.35817852809605,-869.199513589906
33,4.33632538790806,4.36179174848458,-869.679721429561
34,4.53475404183142,4.34392696183357,-866.904385026082
35,4.41562716719379,4.33051707557069,-867.016766586091
36,4.41679634158919,4.3057250635807,-866.85833257121
37,4.42448944232264,4.29750123900086,-866.805915592927
38,4.43487509765629,4.37970232759691,-867.285340292969
39,4.44053674635444,4.28788549977288,-866.833081408701
40,4.43077900440427,4.3303843646068,-866.839410005197
41,4.45060734178778,4.40783189039297,-867.414416415761
42,4.53188793128165,4.52610661264128,-867.816378435402
43,4.61948433722948,4.51512237993101,-866.056396141767
44,4.63162902755112,4.49610290182162,-866.0099602773
45,4.684705284549,4.42190854868497,-868.216429699228
46,4.38615875852487,4.34543863602559,-867.765320656872
47,4.5273826953872,4.42743337418081,-866.432269098765
48,4.50770161814442,4.35149976144054,-866.58735190481
49,4.55641054148903,4.52222735305346,-867.096120721603
50,4.54677105947273,4.44731093883301,-866.355237284251
51,4.66580515063889,4.49040681514897,-866.220395066653
52,4.48305833048709,4.45781851508663,-867.602177585691
53,4.58428850339713,4.343006180866,-867.866156946203
54,4.58129626454773,4.38905896715102,-866.75409637483
55,4.58257165769288,4.32991857970753,-868.220018895106
56,4.5706875621176,4.30688978862487,-868.637216925017
57,4.53667679371523,4.46156950216279,-866.583958289204
58,4.51869998116257,4.38001816014515,-866.443554478879
59,4.5730712987783,4.56397732605579,-867.553036943214
60,4.67974558601367,4.56448458439805,-865.825587097078
61,4.68171199969504,4.67134670108513,-867.085232284924
62,4.90641187433641,4.71373405744699,-865.875164104329
63,4.72245872572886,4.51225327960084,-866.644354594335
64,4.58054341096143,4.43434713917363,-866.240428154252
65,4.55023568685358,4.38658248537755,-866.489854684487
66,4.51401536310851,4.34785921247848,-866.653505066409
67,4.44175098660774,4.31354141333312,-866.73140309479
68,4.4768178290732,4.40871072456278,-866.918995994096
69,4.59153073078089,4.39855385342049,-866.729992785606
70,4.50714021170042,4.40136505204667,-866.490197007198
71,4.43659470620095,4.26125339749343,-867.067451080455
72,4.36875662806905,4.41982292784452,-870.327273483622
73,4.4776191969262,4.28074071854089,-867.223652654639
74,4.51921974023827,4.46773966500507,-866.963595886945
75,4.66665955767058,4.54550816830512,-865.866080664371
76,4.68285350541342,4.59631482878825,-865.933926610372
77,4.76449839859015,4.61590016646564,-865.671694213459
78,4.7018248208551,4.59901403063315,-865.783923526541
79,4.73101937563478,4.64313054922364,-865.770429318417
80,4.8085923674156,4.732887920933,-865.640859926156
81,4.9179211525117,4.78777250206114,-865.222284739464
82,4.90802528357197,4.78261911216743,-865.230210087149
83,4.90734165017942,4.85215591042479,-865.610058558987
84,4.88465304947908,4.75428293933338,-865.292244525961
85,4.89271764909949,4.80040248395265,-865.314247899601
86,4.92180958485855,4.8234110097561,-865.223977747525
87,4.94859796106407,4.77371654544259,-865.527574001374
88,4.89095109796017,4.79444179091154,-865.298752695769
89,4.97034801904009,4.94113215718713,-865.854086477772
90,5.13473256431866,5.03247049378295,-864.862547674671
91,5.22830936033542,5.07950887719221,-864.914385985388
92,5.22057101698624,5.14275458748457,-864.873850333358
93,5.35382927171254,5.127929069503,-866.139750000441
94,5.36086982615878,5.25048619013352,-864.680802198544
95,5.40138922023406,5.33862025540394,-864.85935336192
96,5.52741980177169,5.3696892365152,-864.942946231959
97,5.51488733637897,5.42835094963394,-864.690975526334
98,5.53956420897445,5.43583286090478,-864.661873111244
99,5.55584842004752,5.40811690504387,-864.855131412272
100,5.58432968436313,5.45722321097463,-864.727599189329
101,5.49035957414895,5.42043761411818,-864.778658112044
102,5.60470666116698,5.51933968605715,-864.70894422113
103,5.5824555253081,5.51538862018727,-864.799036100274
104,5.6299111580342,5.51261190070207,-864.710192860882
105,5.62478612053872,5.59491070312751,-865.186289527567
106,5.64606542506303,5.54961167541138,-864.699058558223
107,5.66624518188619,5.4836697153262,-865.350735922156
108,5.56835631764398,5.33128339811001,-866.475809570784
109,5.37361699500025,5.24926099545473,-864.704276899822
110,5.31973492578704,5.1898758075145,-864.745372037609
111,5.29931035735109,5.20233354909224,-864.724430377452
112,5.33118983485064,5.28122303219121,-865.029412927451
113,5.41318144536428,5.3560977623279,-864.906141392323
114,5.45117197944197,5.2632977179716,-865.341761913794
115,5.48558020582656,5.49644528900654,-865.936578935476
116,5.75194878628089,5.7695974622705,-866.02656104643
117,5.80761166043982,5.67605443822716,-864.907424996774
118,5.85419786964946,5.64700838612123,-866.005405693532
119,5.80910757916451,5.70606767438095,-864.808402790696
120,5.64212917357565,5.58219018022057,-864.864633632396
121,5.70202100675864,5.57858139677596,-864.774879644355
122,5.76018939406429,5.67844699147413,-864.797362194822
123,5.85261533299179,5.70368441520786,-865.095155664033
124,5.85185646471425,5.70629703432571,-865.062396875627
125,5.88108987407291,5.88513718105505,-865.806216919621
126,5.92579518431512,5.92775484984681,-865.79657084049
127,6.03518278290438,5.98185802390426,-865.211582093149
128,6.04108407562967,5.93911011874527,-865.075352234521
129,6.03468481839563,6.0716886407374,-866.570388355053
130,6.122050924954,5.97703220023892,-865.443186165679
131,6.03181080849003,5.98498238626986,-865.259007410265
132,6.02351320784811,5.88217777265861,-865.251246197139
133,6.05380681824026,5.90012541159066,-865.421623639979
134,5.99106248635839,5.96701894358921,-865.457343170867
135,5.93324692497183,5.7163312742973,-866.332385277465
136,5.78646474002082,5.63668128553267,-865.03236887542
137,5.67163929679643,5.46117353827595,-865.886054165587
138,5.53556015491292,5.45850345333979,-864.733574854312
139,5.64582365088996,5.47869530767143,-865.111779565937
140,5.45388396656041,5.32000734706288,-864.73641510978
141,5.42074717477795,5.23288496981875,-865.339282879924
142,5.37127395639096,5.27290739236902,-864.684748869389
143,5.39670359676274,5.17268642164238,-866.089089838884
144,5.24702372812942,5.16697205449322,-864.835031389968
145,5.29015367567024,5.25084483888252,-865.197908841546
146,5.45980945166477,5.29159957737913,-865.051518734453
147,5.35108273251342,5.22259532167284,-864.726883676875
148,5.31511612055511,5.24324786486864,-864.836231698907
149,5.38248687967711,5.31652476783753,-864.841530327989
150,5.41532654219187,5.29983703364679,-864.671740868495
151,5.42039367687831,5.35280797761988,-864.812530061235
152,5.43040712751391,5.38721021333902,-865.050151245309
153,5.48956493224683,5.39217042175641,-864.663098778734
154,5.53532773151669,5.46155660294515,-864.751949372354
155,5.49656765221293,5.5097917854327,-865.981520118154
156,5.77149387994187,5.54096994166214,-866.464427569049
157,5.76721929339263,5.73035628408145,-865.139265047094
158,5.73704855586913,5.64185583441469,-864.751958915481
159,5.78536897573261,5.8525010423042,-867.263209228325
160,6.06157514570853,5.8407079252041,-866.630865363394
161,6.01122325580307,5.88417749389614,-865.127270175011
162,6.0124983034094,5.9622003254814,-865.208606985334
163,6.01446398108018,5.94813473564979,-865.106007686232
164,6.04465010264036,5.9825850499695,-865.165977639695
165,6.06827085192911,5.98035766052516,-865.11015126735
166,6.04666679162066,5.93166643978411,-865.118374609524
167,6.04780083052348,5.8924999519884,-865.4305578643
168,5.97528011000766,5.92768833178564,-865.19121770554
169,6.13715139641615,6.09432575233844,-865.42499269678
170,6.22482728735923,6.13072276489514,-865.356501713159
171,6.30520688478212,6.14686303677698,-865.942468337252
172,6.3228197613855,6.19455553212064,-865.678867915213
173,6.32155500462071,6.23313374660831,-865.531091248763
174,6.35976958023855,6.22800316202215,-865.782650652751
175,6.3126489298024,6.1861812467704,-865.645469637468
176,6.21350441286843,6.02618295140736,-866.200658582174
177,6.21461062059309,6.2016690414488,-865.859851572748
178,6.40010751437372,6.25407757771489,-866.003952739029
179,6.33799384676828,6.13147787631777,-866.848067578489
180,6.11980890694982,5.92837512659583,-866.098739496584
181,5.84187161262751,5.71405035516921,-864.920385318513
182,5.82830189753952,5.7335453071047,-864.825345806771
183,5.76422316814425,5.61626452868893,-864.993538244476
184,5.65697422337094,5.51370681477853,-864.868194279346
185,5.59729946295301,5.53441174427885,-864.831783626852
186,5.71355809424375,5.70003708248611,-865.441353777231
187,5.82001210506377,5.68736153317315,-864.926902279093
188,5.7284239746141,5.64207582397086,-864.762501688107
189,5.71545541726465,5.66790051146288,-865.000827783496
190,5.74659981716887,5.593980265916,-865.023031653208
191,5.61809736181311,5.53285392177724,-864.713417351971
192,5.56752524262005,5.38407039504976,-865.304080498358
193,5.43298055114805,5.33955775699618,-864.67725325363
194,5.41543261011643,5.24439121198023,-865.086200680845
195,5.42922914473852,5.34277626591141,-864.700719099422
196,5.50243350162058,5.28539721200274,-865.938300213162
197,5.46799558906406,5.41362676231589,-864.913342343347
198,5.56845220148154,5.42802925815494,-864.801213359914
199,5.50817861952734,5.43467756611942,-864.753914002617
200,5.57618110171927,5.54587515544988,-865.180353290155
201,5.69107876082483,5.57848050290629,-864.732197549996
202,5.74914952533038,5.7103817048532,-865.108900003395
203,5.87105679201021,5.80198580552407,-864.941009727243
204,5.93927441918846,5.79182740476399,-865.189159260575
205,5.83414253476332,5.62150017440758,-866.100369570481
206,5.69733218444872,5.58691408711088,-864.731826029358
207,5.8328951044603,5.63016420065788,-865.885145363065
208,5.77020800137072,5.63161649022959,-864.919998508897
209,5.75486028935108,5.61806040372516,-864.893083316946
210,5.6306986845592,5.47469499128636,-864.971285428551
211,5.65304105618693,5.65104362464206,-865.632281957273
212,5.77899069038485,5.69323405672493,-864.799048879776
213,5.79667618134181,5.73846633040465,-864.951920890463
214,5.80610676769439,5.53760244888068,-867.654371026842
215,5.62764102511221,5.48282540396034,-864.863403707111
216,5.68629848548477,5.51386461584773,-865.212911543027
217,5.70014836856167,5.59118518695986,-864.731221781512
218,5.72304715700331,5.61141160895867,-864.751583765715
219,5.57002348610466,5.46941926328027,-864.66928069087
220,5.56131959582423,5.44282508814186,-864.687333274692
221,5.46462581921249,5.42584268598874,-865.091402667022
222,5.49995172890608,5.44281532977764,-864.88005083902
223,5.56651776844886,5.40279161128272,-865.025598909365
224,5.56590558520769,5.49992836830909,-864.804944006407
225,5.63972605669809,5.57899969980626,-864.857794795511
226,5.70604279611364,5.56447829591379,-864.888884448982
227,5.58888297824875,5.54755292262142,-865.039870592089
228,5.59193504343226,5.53892863821568,-864.916104040594
229,5.68655927613237,5.62303713203437,-864.852767241944
230,5.76789238746302,5.69700680427921,-864.850502866685
231,5.8138106550147,5.70500096191511,-864.82053017264
232,5.76591103603702,5.70474433396701,-864.910366764616
233,5.83617909984433,5.67811068927617,-865.173826364494
234,5.79547881451127,5.79311086986689,-865.652574680479
235,5.77583599921134,5.58979372470504,-865.507041570288
236,5.77088513333323,5.62616442353329,-864.970435698863
237,5.72676331844153,5.56705002539612,-865.082992104036
238,5.63877444569565,5.49997693202665,-864.822951969244
239,5.60346917336198,5.49687466740743,-864.679779445751
240,5.60611952775185,5.49739478607949,-864.682767205207
241,5.60568545534754,5.55798874332602,-864.970514288959
242,5.70673471006064,5.51408562217682,-865.557186293768
243,5.5872157804473,5.46009009376508,-864.728805771709
244,5.69835638381067,5.69365042716363,-865.586557601026
245,5.82077069717748,5.75718692785643,-864.931360987715
246,5.84881355564399,5.71081831038407,-864.995540801827
247,5.67307210604411,5.69626696028087,-866.145314240553
248,5.84835927637976,5.75536185193147,-864.845478330879
249,5.82947121887139,5.71060429715823,-864.864840350881
250,5.88600524007354,5.73619099817861,-865.143736243458
251,5.78419677330731,5.65171039139386,-864.890560723707
252,5.79188733704797,5.66508832244954,-864.864651686529
253,5.81682031123911,5.70605853474356,-864.827456111668
254,5.85073560055462,5.77031810438823,-864.874174780201
255,5.9243062625906,5.95711362763154,-866.412017623485
256,5.92368014164143,6.01561965114454,-868.014538375556
257,5.98075282860422,5.81698543247131,-865.432798586664
258,5.95919813218258,5.82197265918648,-865.126171738283
259,5.91070937650064,5.78935362569137,-864.965255071155
260,5.85034343903958,5.76449546864361,-864.858797774847
261,5.79767367043464,5.74055805700024,-864.960991837126
262,5.87695221533326,5.73477824281047,-865.061750764973
263,5.88475803963046,5.81340429422142,-864.942264376127
264,5.9093478624073,5.83700888643144,-864.96181447171
265,5.97742098797959,5.93751120717533,-865.264758023391
266,6.04523373514001,5.95098589910691,-865.075153114954
267,6.00759121210201,5.96357796681611,-865.256838941149
268,6.06095102182996,5.96815523216998,-865.097110730879
269,5.9852364725474,5.83634012416502,-865.267034724787
270,5.89221802475109,5.80002341982743,-864.890279634905
271,5.9693476354607,5.8592955297283,-864.996416074727
272,5.88598747825219,5.82981815812493,-865.036888321497
273,5.75379366317007,5.80021575989965,-866.700363394662
274,6.04295582609426,6.0321358175298,-865.687691919091
275,6.1142430550083,5.94227332113295,-865.76189410402
276,6.13142591902422,6.01390222510307,-865.260782945788
277,5.98731391842219,5.93045641276038,-865.131911620752
278,5.97419811341474,5.91414489701063,-865.096364398963
279,6.05061693604598,5.98570255387247,-865.157895776097
280,6.08054203555526,5.98509712601,-865.125600428364
281,6.07320188347657,5.97252817676153,-865.119523297331
282,6.01134266883396,5.82613704456036,-865.803850448095
283,5.9792018284236,5.84846405292084,-865.106174082705
284,5.99837041070283,5.76828796679467,-866.760348620858
285,5.80753126888966,5.79938986265891,-865.55989398352
286,5.7156470779745,5.62757359713002,-864.750275491031
287,5.71246296253483,5.60168903721938,-864.742461270676
288,5.67614981874431,5.6189975913511,-864.898098119498
289,5.61036617488207,5.45303197987082,-864.973934593613
290,5.60319534332833,5.50973727513042,-864.687313837479
291,5.52701000373221,5.40799658880194,-864.680695693747
292,5.49975068410584,5.28912081529902,-865.793063835654
293,5.40771468202309,5.33808996941759,-864.802105911843
294,5.43275836724514,5.31090438304844,-864.684858773114
295,5.42213712176034,5.35100748493866,-864.786123577116
296,5.49823617705513,5.39503721628394,-864.657677821
297,5.52930340918534,5.4530756255368,-864.737819056769
298,5.5752894816734,5.45104090163199,-864.711777058191
299,5.51593669488099,5.33471805688848,-865.248090460027
300,5.5276593008334,5.53234210389625,-865.786749871043
301,5.57794849832295,5.53386160851573,-865.008007091947
302,5.53690638330549,5.49958771631374,-865.0917722756
303,5.65093382134968,5.63778759240534,-865.4387240925
304,5.69125106943706,5.52129136246632,-865.182581340395
305,5.63196223940635,5.74346680461432,-868.767146520574
306,5.7672735860392,5.74092075156912,-865.270660012445
307,5.88593430351006,5.75538294178676,-864.986083386395
308,5.85135592461828,5.74117630811544,-864.860133878715
309,5.89361951760782,5.74309283202637,-865.160416990384
310,5.7473927702243,5.70052741659998,-865.022248948964
311,5.6559260188877,5.602885140626,-864.927857805946
312,5.62301689729052,5.45927751698369,-865.054858665757
313,5.71008894285683,5.54220811685463,-865.170137919861
314,5.60177179096115,5.42507115527911,-865.217367544805
315,5.52557544162567,5.57780050873179,-866.938838997399
316,5.54120411063123,5.53022648082469,-865.487543562504
317,5.71448911983608,5.68998849330067,-865.276836128302
318,5.91438077321365,5.69354292365845,-866.399067513131
319,5.88234417189257,5.66082905081224,-866.371211617766
320,5.7628746740251,5.71055916626945,-864.979416982582
321,5.79287190812206,5.74909055161157,-865.077863079009
322,5.90099253652183,5.6837177798661,-866.294856011895
323,5.85589032219993,5.74122874317704,-864.877150566192
324,5.84012213507938,5.80852651786028,-865.243274665354
325,5.86259109179516,5.77652625790735,-864.869881071378
326,5.80370092410697,5.7757141325531,-865.266875483085
327,5.81072322345397,5.62679395813373,-865.509418432022
328,5.76151762213647,5.63099957637268,-864.857928373066
329,5.71297764446749,5.52112569404665,-865.548206127386
330,5.63221358698037,5.41365559836645,-866.040783274215
331,5.61703798717547,5.61678733789124,-865.666940298381
332,5.57209704560932,5.42953504500031,-864.818689987907
333,5.47631969167545,5.27569746080837,-865.579161380037
334,5.41049962471865,5.26520939062563,-864.81516106663
335,5.36889045606757,5.1916830172488,-865.17543445991
336,5.40451307910023,5.20132743480319,-865.622170869303
337,5.26221769152669,5.12582111709788,-864.80781539171
